Player,Age,Team,Pos,MIN,"BLK%","","STL%","","FOUL%","","fgOR%","","fgDR%","","ftOR%","","ftDR%",""
"Danilo Gallinari",31.2,OKC,Big,1559,0,"0.1%",38,"1.0%",100,"1.5%",6,"2.2%",42,"16.7%",0,"0.0%",0,"3.0%"
"Langston Galloway",27.8,DET,Wing,1527,19,"0.3%",33,"1.1%",87,"2.3%",35,"1.8%",10,"6.9%",0,"0.0%",35,"4.3%"
"Darius Garland",19.7,CLE,Combo,1761,5,"0.1%",16,"1.0%",97,"2.0%",20,"1.4%",0,"4.8%",0,"0.0%",16,"1.3%"
"Marc Gasol",34.7,TOR,Big,966,52,"1.7%",58,"1.2%",45,"4.2%",12,"3.2%",52,"17.6%",0,"0.0%",52,"29.4%"
"Rudy Gay",33.2,SAS,Big,1149,28,"1.1%",30,"0.9%",92,"2.6%",22,"4.1%",58,"18.6%",77,"5.5%",69,"36.2%"
"Paul George",29.5,LAC,Wing,1064,75,"0.9%",85,"1.9%",66,"2.8%",28,"1.4%",95,"17.6%",0,"0.0%",59,"8.9%"
"Taj Gibson",34.3,NYK,Big,914,36,"1.4%",51,"1.1%",41,"4.3%",76,"10.3%",33,"15.6%",87,"7.3%",36,"24.5%"
"Harry Giles",21.5,SAC,Big,461,37,"1.4%",79,"1.5%",4,"7.1%",41,"6.4%",85,"22.0%",0,"0.0%",92,"52.0%"
"Shai Gilgeous-Alexander",21.3,OKC,Wing,2096,78,"1.0%",55,"1.3%",99,"1.8%",50,"2.2%",86,"14.1%",91,"3.1%",99,"40.7%"
"Rudy Gobert",27.3,UTA,Big,1972,82,"2.8%",24,"0.9%",71,"3.3%",84,"11.5%",97,"28.4%",48,"1.7%",78,"39.0%"
"Brandon Goodwin",24.0,ATL,Combo,351,44,"0.4%",38,"1.2%",7,"4.4%",41,"1.9%",92,"14.2%",0,"0.0%",89,"11.1%"
"Aaron Gordon",24.1,ORL,Forward,1772,60,"0.9%",31,"1.0%",91,"2.2%",87,"5.2%",88,"17.4%",54,"1.1%",69,"25.7%"
"Eric Gordon",30.8,HOU,Wing,896,44,"0.5%",26,"1.0%",70,"2.7%",6,"0.8%",3,"5.4%",70,"1.4%",42,"5.9%"
"Devonte' Graham",24.6,CHA,Point,2009,41,"0.4%",26,"1.2%",78,"2.2%",46,"2.0%",30,"8.3%",72,"0.8%",52,"3.8%"
"Treveon Graham",26.0,ATL,Forward,161,84,"1.2%",33,"1.0%",1,"5.8%",100,"8.2%",37,"11.6%",0,"0.0%",15,"9.1%"
"Treveon Graham",26.0,MIN,Forward,626,1,"0.2%",37,"1.1%",24,"4.1%",78,"4.5%",15,"9.7%",0,"0.0%",43,"14.7%"
"Jerami Grant",25.6,DEN,Big,1487,46,"1.6%",52,"1.1%",78,"3.0%",13,"3.3%",3,"10.2%",44,"1.4%",6,"10.5%"
"Danny Green",32.3,LAL,Wing,1391,77,"0.9%",90,"2.0%",44,"3.3%",70,"2.9%",40,"10.0%",80,"2.1%",68,"11.4%"
"Draymond Green",29.6,GSW,Forward,1219,90,"1.4%",90,"2.1%",31,"3.8%",15,"1.9%",94,"18.3%",0,"0.0%",99,"41.1%"
"JaMychal Green",29.3,LAC,Big,974,22,"0.9%",41,"1.0%",31,"4.8%",33,"5.6%",69,"20.4%",79,"6.0%",56,"30.3%"
"Javonte Green",26.2,BOS,Wing,288,23,"0.3%",99,"2.7%",15,"4.6%",95,"5.4%",65,"11.7%",0,"0.0%",79,"19.0%"
"Jeff Green",33.1,UTA,Forward,546,58,"0.9%",24,"1.0%",82,"2.6%",33,"2.7%",36,"11.5%",0,"0.0%",18,"10.0%"
"Blake Griffin",30.6,DET,Big,512,11,"0.7%",12,"0.6%",96,"2.2%",14,"3.4%",12,"12.5%",0,"0.0%",18,"18.2%"
"Marko Guduric",24.6,MEM,Wing,390,54,"0.6%",19,"0.9%",50,"3.1%",65,"2.8%",67,"11.7%",97,"6.7%",0,"0.0%"
"Rui Hachimura",21.7,WAS,Big,1017,2,"0.2%",61,"1.2%",81,"3.0%",29,"5.2%",30,"14.8%",69,"3.9%",49,"28.6%"
"Tim Hardaway Jr.",27.6,DAL,Wing,1585,7,"0.1%",18,"0.9%",84,"2.5%",26,"1.3%",28,"8.7%",0,"0.0%",50,"7.0%"
"James Harden",30.1,HOU,Combo,2055,93,"1.2%",80,"1.9%",51,"3.0%",69,"2.7%",82,"12.8%",84,"1.7%",100,"19.1%"
"Maurice Harkless",26.4,LAC,Forward,1122,88,"1.3%",81,"1.8%",22,"4.2%",75,"4.3%",40,"11.8%",0,"0.0%",37,"14.1%"
"Maurice Harkless",26.4,NYK,Wing,144,81,"1.0%",75,"1.7%",48,"3.2%",8,"0.8%",82,"13.3%",98,"8.3%",97,"37.5%"
"Montrezl Harrell",25.7,LAC,Big,1574,58,"1.9%",33,"1.0%",80,"3.0%",71,"9.9%",17,"13.4%",0,"0.0%",35,"24.4%"
"Gary Harris",25.1,DEN,Wing,1584,29,"0.4%",78,"1.8%",69,"2.7%",32,"1.6%",18,"7.7%",0,"0.0%",34,"4.1%"
"Joe Harris",28.1,BKN,Wing,1810,31,"0.4%",14,"0.8%",74,"2.6%",63,"2.8%",45,"10.2%",75,"1.7%",36,"4.3%"
"Tobias Harris",27.2,PHI,Forward,2062,55,"0.9%",27,"1.0%",84,"2.6%",25,"2.2%",84,"16.7%",0,"0.0%",66,"24.8%"
"Shaquille Harrison",26.0,CHI,Wing,291,95,"1.9%",96,"2.4%",21,"4.5%",88,"4.3%",64,"11.6%",0,"0.0%",73,"12.5%"
"Josh Hart",24.6,NOP,Forward,1402,45,"0.6%",73,"1.6%",33,"3.7%",57,"3.1%",96,"18.6%",70,"2.2%",54,"20.2%"
"Isaiah Hartenstein",21.4,HOU,Big,224,57,"1.9%",81,"1.5%",7,"6.6%",86,"11.8%",78,"21.0%",84,"6.7%",9,"12.5%"
"Jaxson Hayes",19.4,NOP,Big,896,78,"2.7%",40,"1.0%",19,"5.6%",66,"9.3%",13,"13.1%",0,"0.0%",46,"27.7%"
"Gordon Hayward",29.6,BOS,Forward,1409,40,"0.6%",25,"1.0%",97,"1.8%",58,"3.1%",67,"14.9%",0,"0.0%",84,"30.6%"
"John Henson",28.8,DET,Big,118,91,"4.0%",91,"1.9%",18,"5.7%",75,"10.2%",59,"18.6%",0,"0.0%",37,"25.0%"
"John Henson",28.8,CLE,Big,405,90,"4.0%",86,"1.6%",21,"5.5%",53,"7.9%",60,"18.9%",66,"3.7%",47,"28.0%"
"Juan Hernangomez",24.0,DEN,Forward,370,34,"0.6%",3,"0.5%",78,"2.7%",81,"5.1%",87,"17.1%",0,"0.0%",55,"20.8%"
"Juan Hernangomez",24.0,MIN,Big,226,10,"0.6%",64,"1.3%",96,"2.4%",25,"4.7%",47,"17.1%",84,"6.7%",14,"15.4%"
"Willy Hernangomez",25.4,CHA,Big,222,28,"1.2%",57,"1.2%",58,"3.7%",79,"10.7%",68,"20.3%",78,"5.6%",53,"30.0%"
"Tyler Herro",19.7,MIA,Wing,1211,17,"0.3%",30,"1.1%",97,"1.9%",19,"1.2%",76,"12.7%",0,"0.0%",77,"16.2%"
"Mario Hezonja",24.6,POR,Forward,613,27,"0.5%",70,"1.5%",4,"5.6%",69,"3.6%",64,"14.7%",82,"3.7%",90,"33.3%"
"Buddy Hield",26.8,SAC,Wing,1896,35,"0.5%",48,"1.2%",61,"2.9%",68,"2.8%",78,"12.8%",0,"0.0%",48,"6.7%"
"George Hill",33.4,MIL,Combo,1019,10,"0.2%",61,"1.5%",66,"2.8%",90,"4.1%",39,"9.1%",77,"1.3%",0,"0.0%"
"Solomon Hill",28.6,MEM,Forward,866,19,"0.4%",67,"1.5%",61,"3.0%",46,"2.9%",45,"12.6%",0,"0.0%",46,"15.1%"
"Aaron Holiday",23.0,IND,Point,1136,59,"0.5%",46,"1.5%",43,"3.1%",26,"1.6%",22,"7.6%",0,"0.0%",89,"12.2%"
"Jrue Holiday",29.3,NOP,Combo,1729,92,"1.2%",84,"2.0%",85,"2.4%",82,"3.5%",44,"9.2%",69,"1.1%",85,"10.8%"
"Justin Holiday",30.5,IND,Wing,1475,84,"1.2%",87,"1.9%",55,"3.1%",40,"2.0%",44,"10.1%",0,"0.0%",81,"19.7%"
"Rondae Hollis-Jefferson",24.8,TOR,Big,901,29,"1.2%",90,"1.9%",38,"4.4%",67,"9.4%",26,"14.5%",50,"1.9%",28,"21.1%"
"Richaun Holmes",26.0,SAC,Big,1073,73,"2.5%",84,"1.6%",24,"5.2%",79,"10.6%",56,"18.3%",51,"1.9%",42,"26.3%"
"Rodney Hood",27.0,POR,Forward,617,15,"0.3%",42,"1.2%",60,"3.0%",7,"1.5%",10,"9.4%",90,"4.8%",7,"5.4%"
"Al Horford",33.4,PHI,Big,1679,41,"1.5%",69,"1.3%",87,"2.8%",27,"5.0%",37,"16.0%",42,"1.2%",31,"22.4%"
"Danuel House",26.4,HOU,Forward,1579,57,"0.9%",66,"1.5%",79,"2.7%",55,"3.1%",24,"10.8%",78,"3.0%",6,"5.1%"
"Dwight Howard",33.8,LAL,Big,1091,87,"3.5%",38,"1.0%",11,"6.1%",96,"13.9%",89,"23.9%",59,"2.9%",97,"56.5%"
"Kevin Huerter",21.1,ATL,Wing,1540,65,"0.7%",44,"1.2%",53,"3.1%",45,"2.0%",62,"11.4%",74,"1.6%",44,"6.1%"
"DeAndre Hunter",21.9,ATL,Forward,1799,22,"0.4%",21,"0.9%",54,"3.3%",18,"1.9%",30,"11.2%",57,"1.3%",27,"12.1%"
"Chandler Hutchison",23.5,CHI,Forward,513,51,"0.7%",88,"2.1%",43,"3.5%",66,"3.5%",81,"16.6%",0,"0.0%",87,"32.4%"
"Serge Ibaka",30.1,TOR,Big,1259,43,"1.5%",20,"0.8%",64,"3.5%",49,"7.6%",63,"19.7%",52,"2.0%",65,"34.5%"
"Andre Iguodala",35.7,MIA,Forward,170,100,"2.4%",10,"0.7%",30,"3.9%",93,"5.8%",57,"13.8%",0,"0.0%",51,"16.7%"
"Ersan Ilyasova",32.4,MIL,Big,834,18,"0.8%",40,"1.0%",52,"3.9%",40,"6.3%",65,"20.1%",84,"6.7%",87,"45.5%"
"Joe Ingles",32.0,UTA,Forward,1762,10,"0.2%",45,"1.2%",73,"2.8%",3,"1.1%",39,"11.8%",75,"2.8%",4,"4.9%"
"Brandon Ingram",22.1,NOP,Forward,1722,61,"0.9%",46,"1.2%",75,"2.7%",30,"2.5%",60,"13.9%",51,"1.0%",78,"28.3%"
"Kyrie Irving",27.6,BKN,Point,658,76,"0.7%",57,"1.6%",39,"3.2%",85,"3.4%",76,"12.4%",0,"0.0%",0,"0.0%"
"Jonathan Isaac",22.0,ORL,Big,941,94,"4.2%",96,"2.3%",70,"3.3%",37,"5.9%",40,"16.5%",70,"4.1%",81,"42.9%"
"Wes Iwundu",24.8,ORL,Forward,713,54,"0.7%",61,"1.5%",37,"3.6%",37,"2.7%",16,"10.1%",0,"0.0%",9,"5.9%"
"Frank Jackson",21.4,NOP,Point,530,35,"0.4%",24,"1.2%",28,"3.4%",83,"3.3%",4,"6.5%",0,"0.0%",48,"2.9%"
"Jaren Jackson",20.1,MEM,Big,1501,81,"2.8%",32,"0.9%",26,"5.1%",17,"3.6%",10,"12.4%",0,"0.0%",9,"12.5%"
"Josh Jackson",22.7,MEM,Forward,238,42,"0.6%",85,"1.9%",51,"3.3%",73,"4.2%",73,"15.4%",0,"0.0%",28,"12.5%"
"Justin Jackson",24.5,DAL,Forward,741,13,"0.3%",4,"0.5%",63,"3.0%",49,"2.9%",25,"10.8%",0,"0.0%",85,"30.8%"
"Reggie Jackson",29.5,DET,Point,375,7,"0.1%",11,"1.0%",72,"2.4%",74,"3.0%",28,"8.2%",0,"0.0%",0,"0.0%"
"Justin James",22.7,SAC,Wing,173,100,"2.4%",29,"1.0%",40,"3.4%",2,"0.6%",59,"11.3%",100,"11.1%",97,"37.5%"
"LeBron James",34.8,LAL,Forward,1908,49,"0.7%",64,"1.5%",99,"1.6%",45,"2.9%",91,"17.8%",61,"1.4%",81,"29.6%"
"Ty Jerome",22.3,PHX,Combo,227,51,"0.5%",87,"2.2%",31,"3.6%",46,"2.0%",75,"12.4%",0,"0.0%",75,"8.3%"
"Cameron Johnson",23.6,PHX,Forward,936,39,"0.6%",49,"1.2%",64,"3.0%",72,"3.8%",19,"10.3%",72,"2.4%",21,"10.9%"
"James Johnson",32.6,MIA,Big,263,72,"2.5%",17,"0.7%",28,"5.1%",12,"3.0%",21,"14.0%",88,"7.7%",28,"21.4%"
"James Johnson",32.6,MIN,Big,198,86,"3.4%",94,"2.2%",13,"6.0%",18,"3.7%",25,"14.4%",0,"0.0%",62,"33.3%"
"Tyler Johnson",27.4,PHX,Combo,509,79,"0.8%",21,"1.0%",39,"3.3%",43,"1.9%",16,"8.1%",0,"0.0%",59,"5.4%"
"Nikola Jokic",24.6,DEN,Big,1896,26,"1.1%",87,"1.6%",51,"3.9%",50,"7.6%",88,"23.3%",60,"2.9%",71,"36.8%"
"Damian Jones",24.3,ATL,Big,816,64,"2.1%",67,"1.3%",5,"6.7%",55,"8.0%",21,"14.1%",80,"6.1%",58,"31.9%"
"Tyus Jones",23.4,MEM,Point,1088,26,"0.3%",61,"1.7%",100,"1.3%",4,"0.6%",24,"7.7%",0,"0.0%",35,"1.5%"
"Derrick Jones, Jr.",22.7,MIA,Wing,1097,91,"1.3%",89,"2.0%",28,"4.0%",91,"4.8%",64,"11.5%",0,"0.0%",75,"14.7%"
"DeAndre Jordan",31.2,BKN,Big,1098,63,"2.1%",16,"0.7%",67,"3.4%",81,"11.2%",96,"28.3%",62,"3.1%",93,"53.1%"
"Cory Joseph",28.1,SAC,Combo,1398,66,"0.7%",44,"1.3%",36,"3.4%",54,"2.2%",30,"8.7%",79,"1.4%",52,"4.5%"
"Frank Kaminsky",26.5,PHX,Big,701,13,"0.7%",21,"0.8%",51,"3.9%",21,"3.9%",49,"17.3%",80,"6.1%",36,"24.5%"
"Enes Kanter",27.4,BOS,Big,814,67,"2.3%",42,"1.0%",67,"3.5%",98,"15.0%",92,"26.1%",88,"7.7%",44,"26.9%"
"Luke Kennard",23.3,DET,Wing,909,16,"0.3%",6,"0.6%",68,"2.7%",13,"0.9%",39,"10.0%",0,"0.0%",22,"2.2%"
"Michael Kidd-Gilchrist",26.0,CHA,Big,131,30,"1.2%",0,"0.0%",28,"5.1%",26,"4.9%",18,"13.6%",0,"0.0%",100,""
"Maxi Kleber",27.7,DAL,Big,1458,67,"2.3%",8,"0.5%",60,"3.7%",38,"6.0%",8,"12.3%",54,"2.3%",64,"34.4%"
"Brandon Knight",27.9,CLE,Wing,204,36,"0.5%",7,"0.7%",37,"3.5%",14,"1.0%",21,"7.9%",0,"0.0%",0,"0.0%"
"Kevin Knox",20.2,NYK,Forward,953,63,"1.0%",16,"0.8%",39,"3.5%",21,"2.1%",46,"12.6%",55,"1.3%",12,"8.3%"
"Furkan Korkmaz",22.2,PHI,Wing,1259,46,"0.6%",27,"1.0%",79,"2.5%",18,"1.2%",34,"9.4%",72,"1.5%",38,"4.8%"
"Luke Kornet",24.2,CHI,Big,532,69,"2.4%",29,"0.9%",49,"4.0%",16,"3.5%",8,"12.0%",66,"3.7%",2,"6.1%"
"Kyle Korver",38.6,MIL,Wing,696,57,"0.7%",21,"0.9%",52,"3.1%",30,"1.5%",32,"9.0%",75,"1.7%",0,"0.0%"
"Rodions Kurucs",21.7,BKN,Forward,390,12,"0.2%",39,"1.2%",6,"5.6%",28,"2.5%",55,"13.3%",100,"13.0%",18,"10.0%"
"Kyle Kuzma",24.2,LAL,Big,1143,13,"0.7%",14,"0.6%",84,"2.9%",15,"3.4%",15,"13.3%",72,"4.3%",17,"17.9%"
"Skal Labissiere",23.6,POR,Big,533,79,"2.7%",10,"0.6%",17,"5.8%",81,"11.3%",35,"15.8%",92,"9.1%",13,"14.6%"
"Jeremy Lamb",27.4,IND,Wing,1289,74,"0.9%",84,"1.9%",43,"3.3%",41,"2.0%",84,"13.7%",77,"1.8%",59,"8.9%"
"Romeo Langford",20.0,BOS,Wing,200,93,"1.6%",16,"0.9%",12,"4.7%",64,"2.8%",9,"6.7%",0,"0.0%",0,"0.0%"
"Zach LaVine",24.6,CHI,Wing,2080,63,"0.7%",79,"1.8%",88,"2.3%",37,"1.8%",68,"11.8%",95,"5.0%",84,"21.3%"
"Jake Layman",25.6,MIN,Forward,385,79,"1.1%",69,"1.5%",46,"3.4%",36,"2.7%",3,"7.4%",0,"0.0%",33,"13.0%"
"TJ Leaf",22.5,IND,Big,149,24,"1.0%",88,"1.7%",48,"4.0%",82,"11.3%",75,"20.9%",99,"22.2%",4,"7.7%"
"Courtney Lee",34.0,DAL,Wing,136,64,"0.7%",93,"2.3%",17,"4.5%",31,"1.6%",27,"8.7%",0,"0.0%",0,"0.0%"
"Damion Lee",27.0,GSW,Combo,1192,13,"0.2%",52,"1.4%",44,"3.2%",66,"2.5%",93,"14.4%",0,"0.0%",70,"7.8%"
"Alex Len",26.3,ATL,Big,716,65,"2.1%",48,"1.1%",33,"4.7%",60,"8.7%",49,"17.5%",90,"8.1%",85,"43.6%"
"Kawhi Leonard",28.3,LAC,Forward,1476,64,"1.0%",97,"2.4%",96,"2.0%",51,"3.0%",90,"17.5%",63,"1.4%",94,"38.3%"
"Meyers Leonard",27.6,MIA,Big,986,17,"0.8%",13,"0.6%",39,"4.4%",11,"3.0%",74,"20.8%",0,"0.0%",75,"37.8%"
"Caris LeVert",25.1,BKN,Combo,955,20,"0.3%",72,"1.7%",75,"2.6%",79,"3.2%",51,"9.5%",80,"1.5%",28,"2.1%"
"Damian Lillard",29.2,POR,Point,1992,43,"0.4%",17,"1.1%",91,"1.7%",15,"1.3%",48,"9.8%",80,"1.2%",39,"1.6%"
"Nassir Little",19.7,POR,Forward,479,75,"1.1%",7,"0.7%",7,"5.4%",88,"5.3%",31,"11.2%",85,"4.0%",63,"23.3%"
"Kevon Looney",23.7,GSW,Big,241,34,"1.3%",85,"1.6%",25,"5.2%",76,"10.3%",29,"14.7%",96,"11.1%",37,"25.0%"
"Brook Lopez",31.5,MIL,Big,1476,97,"4.5%",51,"1.1%",74,"3.2%",6,"2.2%",7,"11.4%",65,"3.4%",21,"19.3%"
"Robin Lopez",31.5,MIL,Big,696,61,"2.0%",9,"0.5%",76,"3.1%",31,"5.4%",1,"8.7%",76,"5.4%",4,"8.6%"
"Kevin Love",31.1,CLE,Big,1580,8,"0.5%",24,"0.8%",99,"1.9%",10,"2.8%",97,"28.9%",0,"0.0%",61,"32.8%"
"Kyle Lowry",33.6,TOR,Point,1699,67,"0.6%",48,"1.5%",22,"3.5%",33,"1.7%",65,"11.1%",83,"1.4%",30,"1.2%"
"Timothe Luwawu-Cabarrot",24.4,BKN,Wing,485,27,"0.4%",32,"1.1%",13,"4.7%",72,"3.1%",46,"10.2%",94,"4.0%",28,"3.2%"
"Trey Lyles",23.9,SAS,Big,1083,25,"1.1%",27,"0.9%",63,"3.5%",43,"6.6%",87,"23.2%",0,"0.0%",72,"37.3%"
"Ian Mahinmi",32.9,WAS,Big,799,83,"2.9%",87,"1.6%",22,"5.4%",69,"9.6%",38,"16.3%",0,"0.0%",80,"41.5%"
"Thon Maker",22.6,DET,Big,649,78,"2.7%",74,"1.4%",20,"5.5%",54,"7.9%",28,"14.7%",0,"0.0%",60,"32.3%"
"Terance Mann",23.0,LAC,Wing,191,79,"1.0%",21,"0.9%",5,"5.3%",15,"1.1%",11,"7.0%",0,"0.0%",64,"10.0%"
"Boban Marjanovic",31.2,DAL,Big,201,31,"1.2%",13,"0.6%",10,"6.3%",99,"16.4%",94,"26.7%",0,"0.0%",87,"45.5%"
"Lauri Markkanen",22.4,CHI,Big,1390,19,"0.9%",56,"1.2%",94,"2.5%",20,"3.9%",45,"17.0%",47,"1.6%",50,"28.9%"
"Caleb Martin",24.0,CHA,Wing,117,88,"1.3%",9,"0.7%",0,"5.9%",84,"4.0%",48,"10.3%",0,"0.0%",0,"0.0%"
"Cody Martin",24.0,CHA,Wing,636,40,"0.5%",82,"1.8%",32,"3.7%",93,"4.8%",92,"15.2%",79,"2.0%",72,"12.0%"
"Kelan Martin",24.2,MIN,Forward,438,70,"1.0%",6,"0.7%",19,"4.3%",27,"2.3%",72,"15.3%",0,"0.0%",34,"13.3%"
"Garrison Mathews",23.0,WAS,Wing,184,12,"0.3%",1,"0.5%",7,"5.1%",79,"3.4%",25,"8.6%",0,"0.0%",0,"0.0%"
"Wesley Matthews",33.0,MIL,Wing,1338,21,"0.3%",24,"0.9%",83,"2.5%",16,"1.1%",14,"7.5%",0,"0.0%",41,"5.4%"
"Patrick McCaw",24.0,TOR,Wing,745,13,"0.3%",83,"1.9%",64,"2.8%",57,"2.6%",8,"6.6%",0,"0.0%",36,"4.4%"
"CJ McCollum",28.1,POR,Combo,2036,84,"0.8%",10,"0.9%",72,"2.7%",39,"1.8%",26,"8.5%",69,"1.1%",79,"8.6%"
"TJ McConnell",27.6,IND,Combo,1048,59,"0.5%",62,"1.6%",84,"2.4%",70,"2.7%",67,"11.2%",0,"0.0%",46,"4.0%"
"Jalen McDaniels",21.7,CHA,Wing,154,56,"0.7%",73,"1.7%",2,"5.4%",85,"4.0%",99,"20.1%",0,"0.0%",96,"33.3%"
"Doug McDermott",27.8,IND,Forward,1149,6,"0.2%",0,"0.3%",42,"3.5%",16,"1.9%",12,"9.4%",0,"0.0%",25,"12.1%"
"JaVale McGee",31.7,LAL,Big,894,95,"4.3%",53,"1.1%",21,"5.5%",85,"11.7%",76,"20.9%",73,"4.4%",89,"48.7%"
"Rodney McGruder",28.2,LAC,Wing,648,48,"0.6%",47,"1.2%",27,"4.0%",81,"3.7%",75,"12.3%",0,"0.0%",39,"5.1%"
"Alfonzo McKinnie",27.1,CLE,Forward,455,37,"0.6%",75,"1.6%",12,"4.8%",82,"5.1%",61,"14.2%",97,"9.1%",52,"19.4%"
"Jordan McLaughlin",23.5,MIN,Point,455,48,"0.4%",87,"2.4%",85,"2.0%",9,"0.8%",41,"9.1%",0,"0.0%",83,"7.7%"
"Ben McLemore",26.7,HOU,Wing,1322,34,"0.4%",34,"1.1%",36,"3.5%",27,"1.4%",21,"7.8%",0,"0.0%",20,"1.3%"
"Jordan McRae",28.5,WAS,Wing,607,82,"1.1%",39,"1.2%",35,"3.6%",58,"2.6%",80,"13.1%",89,"3.0%",69,"11.6%"
"Nicolo Melli",28.7,NOP,Big,722,29,"1.2%",77,"1.4%",30,"4.9%",21,"3.9%",24,"14.3%",80,"6.1%",1,"5.4%"
"De'Anthony Melton",21.4,MEM,Combo,836,77,"0.8%",97,"2.5%",23,"3.9%",85,"3.8%",95,"14.4%",0,"0.0%",97,"16.7%"
"Khris Middleton",28.2,MIL,Forward,1510,7,"0.2%",55,"1.3%",87,"2.5%",24,"2.2%",78,"16.0%",93,"7.4%",16,"9.4%"
"CJ Miles",32.6,WAS,Wing,155,87,"1.3%",98,"2.6%",33,"3.6%",51,"2.3%",4,"5.4%",0,"0.0%",0,"0.0%"
"Patty Mills",31.2,SAS,Combo,1324,7,"0.1%",54,"1.5%",82,"2.5%",18,"1.4%",2,"5.6%",0,"0.0%",0,"0.0%"
"Paul Millsap",34.7,DEN,Big,945,42,"1.5%",82,"1.5%",40,"4.3%",49,"7.5%",31,"15.3%",99,"14.6%",53,"30.0%"
"Shake Milton",23.0,PHI,Wing,412,36,"0.5%",37,"1.2%",9,"4.9%",42,"2.0%",51,"10.8%",0,"0.0%",58,"8.8%"
