Player,Age,Team,Pos,MIN,"BLK%","","STL%","","FOUL%","","fgOR%","","fgDR%","","ftOR%","","ftDR%",""
"Donovan Mitchell",23.1,UTA,Combo,1991,26,"0.3%",48,"1.3%",67,"2.8%",57,"2.3%",61,"10.7%",0,"0.0%",36,"3.0%"
"Malik Monk",21.7,CHA,Wing,1126,64,"0.7%",22,"0.9%",78,"2.5%",54,"2.3%",58,"11.3%",0,"0.0%",43,"6.0%"
"E'Twaun Moore",30.6,NOP,Wing,858,43,"0.5%",40,"1.2%",58,"3.0%",71,"3.0%",33,"9.1%",81,"2.1%",66,"11.4%"
"Ja Morant",20.2,MEM,Point,1608,37,"0.4%",30,"1.3%",87,"2.0%",57,"2.3%",33,"8.5%",0,"0.0%",41,"2.2%"
"Marcus Morris",30.1,LAC,Big,210,48,"1.7%",63,"1.2%",78,"3.1%",4,"1.9%",6,"11.0%",0,"0.0%",30,"22.2%"
"Marcus Morris",30.1,NYK,Forward,1375,46,"0.6%",34,"1.1%",40,"3.5%",61,"3.2%",52,"13.1%",67,"2.0%",48,"15.3%"
"Markieff Morris",30.1,DET,Big,968,7,"0.5%",58,"1.2%",49,"4.0%",8,"2.4%",28,"14.6%",51,"1.9%",38,"25.5%"
"Monte Morris",24.3,DEN,Point,1199,52,"0.5%",50,"1.6%",89,"1.8%",24,"1.5%",9,"6.9%",0,"0.0%",0,"0.0%"
"Emmanuel Mudiay",23.6,UTA,Point,682,72,"0.7%",22,"1.1%",41,"3.1%",61,"2.4%",74,"12.3%",0,"0.0%",46,"2.8%"
"Dejounte Murray",23.1,SAS,Point,1307,61,"0.5%",98,"3.0%",17,"3.5%",98,"4.8%",100,"19.0%",89,"1.7%",91,"14.3%"
"Jamal Murray",22.6,DEN,Combo,1574,57,"0.5%",67,"1.7%",95,"2.1%",59,"2.3%",54,"10.2%",82,"1.5%",56,"5.3%"
"Dzanan Musa",20.4,BKN,Forward,345,0,"0.1%",48,"1.2%",88,"2.5%",64,"3.3%",22,"10.7%",0,"0.0%",0,"0.0%"
"Mike Muscala",28.3,OKC,Big,437,31,"1.2%",17,"0.7%",62,"3.6%",7,"2.3%",35,"15.8%",0,"0.0%",23,"20.0%"
"Sviatoslav Mykhailiuk",22.3,DET,Forward,1060,4,"0.2%",57,"1.3%",70,"2.8%",1,"1.1%",0,"6.3%",79,"3.2%",3,"2.1%"
"Abdel Nader",26.0,OKC,Forward,620,81,"1.2%",54,"1.3%",34,"3.7%",12,"1.8%",6,"8.2%",0,"0.0%",28,"12.5%"
"Larry Nance Jr.",26.8,CLE,Big,1261,19,"0.9%",83,"1.5%",94,"2.5%",47,"7.4%",74,"20.8%",45,"1.4%",79,"41.0%"
"Shabazz Napier",28.3,WAS,Point,198,24,"0.3%",93,"3.0%",15,"3.6%",80,"3.2%",7,"6.7%",0,"0.0%",0,"0.0%"
"Shabazz Napier",28.3,MIN,Point,836,39,"0.4%",72,"1.9%",48,"3.0%",39,"1.8%",70,"11.6%",0,"0.0%",63,"4.4%"
"Raul Neto",27.4,PHI,Point,451,63,"0.6%",52,"1.6%",33,"3.3%",41,"1.9%",26,"7.7%",96,"4.8%",0,"0.0%"
"Georges Niang",26.3,UTA,Big,648,4,"0.3%",19,"0.7%",63,"3.5%",1,"1.4%",11,"12.4%",0,"0.0%",27,"20.9%"
"Nerlens Noel",25.5,OKC,Big,923,90,"4.0%",97,"2.5%",12,"6.0%",63,"9.0%",47,"17.1%",0,"0.0%",73,"37.5%"
"Jaylen Nowell",20.3,MIN,Combo,111,49,"0.5%",0,"0.0%",98,"1.9%",62,"2.4%",3,"6.1%",0,"0.0%",0,"0.0%"
"Frank Ntilikina",21.2,NYK,Point,1029,78,"0.8%",74,"2.0%",9,"4.8%",35,"1.8%",35,"8.6%",83,"1.4%",87,"11.3%"
"Kendrick Nunn",24.2,MIA,Combo,1652,28,"0.3%",34,"1.2%",48,"3.1%",10,"1.1%",20,"8.2%",0,"0.0%",0,"0.0%"
"David Nwaba",26.7,BKN,Combo,248,100,"2.1%",70,"1.7%",2,"4.9%",72,"2.8%",69,"11.3%",100,"5.6%",0,"0.0%"
"Semi Ojeleye",24.9,BOS,Big,738,3,"0.3%",39,"1.0%",72,"3.2%",8,"2.4%",1,"9.2%",0,"0.0%",44,"26.8%"
"Jahlil Okafor",23.8,NOP,Big,414,58,"2.0%",12,"0.6%",33,"4.7%",74,"10.1%",43,"16.8%",94,"10.0%",18,"18.2%"
"Elie Okobo",22.0,PHX,Combo,606,21,"0.3%",36,"1.2%",59,"2.9%",61,"2.3%",66,"10.9%",0,"0.0%",67,"6.5%"
"Josh Okogie",21.1,MIN,Wing,1329,71,"0.9%",77,"1.8%",42,"3.4%",93,"5.2%",73,"12.1%",79,"2.1%",29,"3.3%"
"Victor Oladipo",27.4,IND,Wing,255,11,"0.2%",56,"1.4%",90,"2.3%",66,"2.8%",22,"8.1%",0,"0.0%",0,"0.0%"
"Kelly Olynyk",28.5,MIA,Big,977,21,"0.9%",85,"1.6%",26,"5.1%",17,"3.6%",50,"17.5%",49,"1.8%",81,"42.9%"
"Royce O'Neale",26.4,UTA,Wing,1701,62,"0.7%",42,"1.2%",24,"4.3%",25,"1.3%",93,"15.7%",0,"0.0%",83,"20.7%"
"Kyle O'Quinn",29.6,PHI,Big,196,98,"5.0%",25,"0.9%",11,"6.1%",87,"11.9%",90,"24.7%",96,"11.1%",66,"35.3%"
"Cedi Osman",24.5,CLE,Forward,1696,24,"0.4%",43,"1.2%",55,"3.3%",9,"1.6%",21,"10.5%",57,"1.3%",49,"15.5%"
"Kelly Oubre",23.8,PHX,Forward,1921,73,"1.1%",72,"1.6%",28,"3.9%",67,"3.6%",63,"14.6%",52,"1.1%",73,"27.4%"
"Jabari Parker",24.6,ATL,Big,832,22,"0.9%",92,"2.1%",40,"4.3%",42,"6.5%",41,"16.6%",0,"0.0%",26,"20.4%"
"Eric Paschall",22.9,GSW,Forward,1391,28,"0.5%",19,"0.9%",67,"2.9%",84,"5.1%",42,"12.1%",64,"1.6%",24,"11.8%"
"Anzejs Pasecniks",23.8,WAS,Big,334,44,"1.5%",21,"0.8%",17,"5.8%",72,"9.9%",34,"15.7%",72,"4.3%",77,"38.1%"
"Patrick Patterson",30.6,LAC,Big,515,4,"0.3%",4,"0.4%",95,"2.4%",30,"5.3%",19,"13.8%",0,"0.0%",7,"11.1%"
"Chris Paul",34.4,OKC,Point,1866,22,"0.2%",83,"2.1%",52,"2.9%",11,"1.2%",91,"14.9%",0,"0.0%",78,"7.5%"
"Elfrid Payton",25.6,NYK,Point,1048,85,"0.8%",89,"2.5%",50,"3.0%",89,"4.0%",85,"13.2%",0,"0.0%",33,"1.4%"
"Gary Payton II",26.9,WAS,Forward,363,48,"0.7%",100,"3.6%",10,"4.9%",85,"5.1%",51,"12.7%",0,"0.0%",0,"0.0%"
"Norvel Pelle",26.7,PHI,Big,135,100,"8.1%",0,"0.0%",1,"8.7%",45,"7.0%",72,"20.6%",0,"0.0%",23,"20.0%"
"Theo Pinson",23.9,BKN,Combo,288,36,"0.3%",56,"1.5%",11,"4.2%",74,"3.0%",48,"9.4%",0,"0.0%",75,"8.3%"
"Mason Plumlee",29.6,DEN,Big,784,45,"1.6%",62,"1.2%",23,"5.2%",70,"9.6%",61,"19.2%",64,"3.4%",73,"37.5%"
"Jakob Poeltl",24.0,SAS,Big,959,96,"4.4%",70,"1.3%",54,"3.9%",77,"10.3%",63,"19.8%",78,"5.6%",41,"25.9%"
"Jordan Poole",20.3,GSW,Combo,1052,43,"0.4%",30,"1.1%",56,"3.0%",2,"0.5%",34,"9.0%",92,"2.0%",54,"4.7%"
"Kevin Porter",19.4,CLE,Wing,1026,50,"0.6%",72,"1.7%",10,"4.9%",42,"2.0%",74,"12.2%",0,"0.0%",33,"4.0%"
"Michael Porter",21.3,DEN,Forward,564,97,"1.7%",51,"1.3%",18,"4.3%",97,"7.9%",100,"22.2%",0,"0.0%",91,"35.1%"
"Otto Porter",26.4,CHI,Wing,226,60,"0.7%",74,"1.7%",29,"3.8%",73,"3.1%",50,"10.6%",96,"5.0%",48,"6.7%"
"Bobby Portis",24.7,NYK,Big,1175,6,"0.4%",33,"1.0%",91,"2.7%",35,"5.8%",37,"16.2%",42,"1.3%",86,"44.4%"
"Kristaps Porzingis",24.2,DAL,Big,1407,84,"3.1%",36,"1.0%",53,"3.9%",29,"5.2%",85,"21.9%",68,"3.9%",76,"37.9%"
"Dwight Powell",28.2,DAL,Big,1047,21,"0.9%",80,"1.5%",53,"3.9%",48,"7.4%",13,"13.0%",49,"1.8%",23,"20.0%"
"Norman Powell",26.4,TOR,Wing,1074,53,"0.6%",81,"1.8%",63,"2.9%",44,"2.0%",36,"9.6%",0,"0.0%",76,"15.7%"
"Taurean Prince",25.6,BKN,Big,1716,10,"0.6%",65,"1.3%",74,"3.2%",5,"2.1%",33,"15.4%",86,"6.9%",73,"37.5%"
"Julius Randle",24.9,NYK,Big,1870,8,"0.6%",37,"1.0%",86,"2.8%",44,"6.8%",81,"21.5%",58,"2.8%",62,"33.0%"
"Cameron Reddish",20.1,ATL,Wing,1374,76,"0.9%",71,"1.7%",41,"3.4%",53,"2.3%",63,"11.4%",68,"1.3%",32,"3.9%"
"JJ Redick",35.3,NOP,Wing,1422,20,"0.3%",5,"0.6%",85,"2.4%",4,"0.7%",31,"8.9%",0,"0.0%",30,"3.4%"
"Naz Reid",20.1,MIN,Big,305,66,"2.3%",81,"1.5%",3,"7.9%",31,"5.4%",22,"14.1%",83,"6.2%",53,"30.0%"
"Josh Richardson",26.1,PHI,Combo,1432,90,"1.1%",46,"1.3%",46,"3.1%",67,"2.6%",23,"8.5%",0,"0.0%",61,"5.8%"
"Austin Rivers",27.2,HOU,Wing,1207,30,"0.4%",50,"1.3%",50,"3.1%",21,"1.3%",24,"8.5%",0,"0.0%",21,"1.4%"
"Duncan Robinson",25.5,MIA,Forward,1702,16,"0.3%",13,"0.8%",27,"4.0%",0,"0.4%",18,"10.1%",75,"2.8%",13,"9.0%"
"Jerome Robinson",22.6,LAC,Wing,380,73,"0.9%",17,"0.9%",18,"4.5%",7,"0.8%",41,"10.0%",0,"0.0%",0,"0.0%"
"Jerome Robinson",22.6,WAS,Wing,144,79,"1.0%",36,"1.2%",21,"4.4%",24,"1.3%",98,"19.2%",0,"0.0%",0,"0.0%"
"Mitchell Robinson",21.5,NYK,Big,1193,96,"4.4%",88,"1.7%",19,"5.7%",90,"12.4%",40,"16.4%",82,"6.2%",15,"16.1%"
"Glenn Robinson III",25.8,PHI,Forward,102,31,"0.5%",99,"2.6%",81,"2.6%",99,"7.9%",1,"7.0%",0,"0.0%",67,"25.0%"
"Glenn Robinson III",25.8,GSW,Wing,1488,33,"0.4%",51,"1.3%",89,"2.3%",86,"4.1%",36,"9.6%",87,"2.9%",86,"22.4%"
"Rajon Rondo",33.6,LAL,Point,877,4,"0.1%",65,"1.8%",83,"2.0%",65,"2.6%",72,"12.3%",0,"0.0%",96,"20.0%"
"Derrick Rose",31.0,DET,Point,1270,65,"0.6%",39,"1.3%",98,"1.4%",50,"2.3%",20,"7.4%",0,"0.0%",37,"1.6%"
"Terrence Ross",28.7,ORL,Wing,1557,50,"0.6%",80,"1.8%",95,"2.0%",7,"0.8%",57,"11.3%",0,"0.0%",47,"6.2%"
"Terry Rozier",25.6,CHA,Combo,1946,25,"0.3%",43,"1.3%",93,"2.2%",51,"2.1%",72,"11.7%",90,"2.0%",15,"1.1%"
"Ricky Rubio",29.0,PHX,Point,1644,28,"0.3%",80,"2.0%",35,"3.2%",63,"2.4%",78,"12.4%",0,"0.0%",76,"7.1%"
"D'Angelo Russell",23.6,MIN,Point,196,74,"0.7%",54,"1.6%",67,"2.4%",2,"0.5%",67,"11.5%",0,"0.0%",72,"6.2%"
"D'Angelo Russell",23.6,GSW,Combo,1044,46,"0.4%",41,"1.2%",80,"2.5%",13,"1.3%",57,"10.5%",0,"0.0%",23,"1.7%"
"Domantas Sabonis",23.4,IND,Big,1948,14,"0.7%",29,"0.9%",69,"3.3%",67,"9.3%",91,"25.6%",56,"2.7%",90,"49.3%"
"JaKarr Sampson",26.6,IND,Big,246,54,"1.8%",79,"1.4%",15,"5.9%",28,"5.0%",9,"12.3%",0,"0.0%",33,"23.5%"
"Dario Saric",25.5,PHX,Big,1299,6,"0.5%",31,"0.9%",65,"3.5%",37,"5.9%",53,"17.9%",91,"8.3%",33,"23.6%"
"Tomas Satoransky",28.0,CHI,Combo,1732,15,"0.2%",77,"1.9%",52,"3.0%",87,"3.8%",52,"9.8%",0,"0.0%",82,"9.3%"
"Admiral Schofield",22.5,WAS,Forward,240,43,"0.6%",36,"1.1%",0,"6.4%",4,"1.2%",4,"8.2%",0,"0.0%",45,"15.0%"
"Dennis Schroder",26.1,OKC,Combo,1802,41,"0.4%",15,"0.9%",64,"2.8%",7,"1.0%",62,"10.8%",87,"1.8%",30,"2.4%"
"Mike Scott",31.2,PHI,Big,947,1,"0.2%",18,"0.7%",83,"2.9%",26,"4.8%",19,"13.9%",0,"0.0%",19,"18.5%"
"Thabo Sefolosha",35.4,HOU,Big,399,35,"1.4%",95,"2.3%",46,"4.1%",24,"4.5%",26,"14.5%",0,"0.0%",45,"27.3%"
"Collin Sexton",20.8,CLE,Point,1890,11,"0.2%",28,"1.2%",65,"2.5%",76,"3.1%",13,"7.2%",78,"1.2%",0,"0.0%"
"Landry Shamet",22.6,LAC,Combo,1169,34,"0.3%",3,"0.7%",16,"4.1%",0,"0.3%",5,"6.1%",89,"1.9%",62,"6.2%"
"Iman Shumpert",29.3,BKN,Forward,239,21,"0.4%",91,"2.2%",36,"3.6%",63,"3.3%",9,"8.8%",99,"11.1%",28,"12.5%"
"Pascal Siakam",25.5,TOR,Forward,1670,93,"1.4%",40,"1.2%",72,"2.8%",60,"3.2%",79,"16.0%",66,"1.6%",82,"30.2%"
"Chris Silva",23.1,MIA,Big,248,85,"3.2%",56,"1.2%",0,"9.5%",100,"17.6%",46,"17.0%",97,"13.3%",91,"50.0%"
"Ben Simmons",23.2,PHI,Point,1928,91,"0.9%",91,"2.6%",46,"3.0%",100,"5.7%",89,"14.7%",87,"1.6%",100,"31.8%"
"Anfernee Simons",20.3,POR,Combo,1232,38,"0.4%",5,"0.8%",30,"3.6%",33,"1.7%",28,"8.7%",0,"0.0%",57,"5.4%"
"Alen Smailagic",19.2,GSW,Big,116,49,"1.7%",19,"0.7%",37,"4.5%",59,"8.7%",0,"8.6%",0,"0.0%",9,"12.5%"
"Marcus Smart",25.6,BOS,Combo,1539,80,"0.8%",89,"2.2%",38,"3.3%",49,"2.1%",36,"9.0%",93,"2.2%",48,"4.2%"
"Ish Smith",31.3,WAS,Point,1462,83,"0.8%",43,"1.4%",76,"2.3%",30,"1.6%",52,"10.4%",76,"1.1%",67,"5.5%"
"Dennis Smith Jr.",21.9,NYK,Point,523,70,"0.7%",85,"2.2%",7,"4.9%",87,"3.8%",59,"10.9%",0,"0.0%",0,"0.0%"
"Tony Snell",27.9,DET,Wing,1474,32,"0.4%",11,"0.8%",81,"2.5%",0,"0.6%",7,"6.1%",0,"0.0%",55,"7.8%"
"Omari Spellman",22.2,GSW,Big,794,44,"1.6%",78,"1.4%",89,"2.7%",51,"7.7%",31,"15.3%",88,"7.5%",22,"19.5%"
"Edmond Sumner",23.8,IND,Wing,244,70,"0.8%",97,"2.4%",7,"5.1%",59,"2.6%",17,"7.6%",0,"0.0%",0,"0.0%"
"Caleb Swanigan",22.5,POR,Big,190,16,"0.8%",6,"0.5%",3,"8.0%",88,"12.1%",71,"20.5%",0,"0.0%",96,"56.2%"
"Jayson Tatum",21.6,BOS,Forward,1891,91,"1.4%",79,"1.7%",94,"2.0%",48,"2.9%",75,"15.4%",0,"0.0%",100,"41.4%"
"Jeff Teague",31.3,ATL,Combo,408,54,"0.5%",64,"1.6%",90,"2.2%",64,"2.4%",10,"7.6%",0,"0.0%",41,"3.7%"
"Jeff Teague",31.3,MIN,Combo,936,64,"0.7%",31,"1.1%",57,"2.9%",28,"1.6%",8,"7.6%",0,"0.0%",26,"1.9%"
"Garrett Temple",33.4,BKN,Wing,1514,69,"0.8%",38,"1.2%",82,"2.5%",36,"1.8%",29,"8.7%",0,"0.0%",74,"14.0%"
"Daniel Theis",27.5,BOS,Big,1240,83,"2.9%",50,"1.1%",15,"5.9%",69,"9.5%",55,"18.1%",74,"4.8%",13,"14.7%"
"Isaiah Thomas",30.7,WAS,Point,921,33,"0.3%",4,"0.6%",37,"3.2%",13,"1.2%",2,"6.2%",0,"0.0%",43,"2.3%"
"Matt Thomas",25.2,TOR,Wing,243,0,"0.0%",43,"1.2%",30,"3.8%",29,"1.4%",61,"11.3%",0,"0.0%",0,"0.0%"
"Tristan Thompson",28.6,CLE,Big,1658,38,"1.4%",22,"0.8%",93,"2.5%",94,"13.3%",67,"20.3%",42,"1.3%",51,"29.1%"
"Matisse Thybulle",22.6,PHI,Wing,1001,98,"2.1%",100,"3.1%",14,"4.7%",69,"2.9%",2,"5.3%",73,"1.5%",0,"0.0%"
"Anthony Tolliver",34.4,POR,Big,514,15,"0.8%",15,"0.7%",47,"4.1%",23,"4.2%",16,"13.3%",0,"0.0%",40,"25.8%"
"Juan Toscano-Anderson",26.5,GSW,Wing,157,58,"0.7%",93,"2.2%",11,"4.7%",23,"1.3%",96,"17.9%",0,"0.0%",94,"30.0%"
"Karl-Anthony Towns",23.9,MIN,Big,1181,50,"1.7%",59,"1.2%",76,"3.1%",53,"7.9%",88,"23.4%",62,"3.1%",68,"36.2%"
"Gary Trent Jr.",20.7,POR,Wing,890,49,"0.6%",68,"1.6%",74,"2.6%",34,"1.6%",5,"5.7%",82,"2.2%",0,"0.0%"
"Allonzo Trier",23.7,NYK,Combo,199,74,"0.8%",2,"0.6%",3,"4.5%",21,"1.5%",21,"8.5%",0,"0.0%",0,"0.0%"
"PJ Tucker",34.4,HOU,Big,2026,15,"0.7%",72,"1.4%",60,"3.7%",22,"4.2%",17,"13.5%",74,"4.7%",56,"30.6%"
"Evan Turner",31.0,ATL,Wing,234,94,"1.7%",64,"1.6%",45,"3.3%",66,"2.8%",52,"10.9%",0,"0.0%",70,"11.8%"
"Myles Turner",23.6,IND,Big,1458,87,"3.6%",62,"1.2%",69,"3.3%",24,"4.6%",44,"16.9%",46,"1.5%",35,"24.1%"
"Jonas Valanciunas",27.4,MEM,Big,1468,62,"2.1%",15,"0.7%",61,"3.7%",80,"11.1%",95,"26.7%",93,"9.8%",88,"45.6%"
"Denzel Valentine",25.9,CHI,Wing,333,52,"0.6%",88,"2.0%",8,"5.0%",11,"0.9%",88,"14.4%",0,"0.0%",93,"26.3%"
"Fred VanVleet",25.6,TOR,Combo,1712,39,"0.4%",90,"2.2%",77,"2.6%",5,"1.0%",41,"9.1%",0,"0.0%",31,"2.4%"
"Noah Vonleh",24.1,MIN,Big,327,20,"0.9%",74,"1.4%",66,"3.5%",62,"8.9%",76,"20.9%",0,"0.0%",66,"35.3%"
"Nikola Vucevic",29.0,ORL,Big,1581,40,"1.5%",60,"1.2%",85,"2.8%",51,"7.7%",93,"26.2%",0,"0.0%",47,"28.1%"
"Moritz Wagner",22.5,WAS,Big,576,33,"1.3%",63,"1.2%",8,"6.5%",36,"5.8%",67,"20.2%",0,"0.0%",76,"37.8%"
"Kemba Walker",29.4,BOS,Point,1465,93,"0.9%",37,"1.3%",80,"2.1%",48,"2.2%",61,"10.9%",0,"0.0%",28,"1.1%"
"Lonnie Walker",20.8,SAS,Wing,642,61,"0.7%",65,"1.6%",26,"4.1%",62,"2.7%",53,"11.1%",0,"0.0%",62,"9.4%"
"Tyrone Wallace",25.3,ATL,Combo,130,0,"0.0%",79,"1.9%",0,"5.4%",56,"2.2%",70,"11.3%",0,"0.0%",95,"15.4%"
"Derrick Walton Jr.",24.5,LAC,Point,161,0,"0.0%",2,"0.5%",26,"3.4%",7,"0.6%",0,"5.5%",0,"0.0%",0,"0.0%"
"Brad Wanamaker",30.2,BOS,Combo,1015,56,"0.5%",75,"1.8%",13,"4.2%",36,"1.7%",31,"8.7%",0,"0.0%",20,"1.5%"
"TJ Warren",26.1,IND,Forward,1836,52,"0.7%",76,"1.6%",48,"3.4%",54,"3.0%",7,"8.4%",60,"1.3%",42,"14.5%"
"PJ Washington",21.1,CHA,Big,1535,35,"1.3%",75,"1.4%",58,"3.8%",13,"3.2%",20,"13.9%",41,"1.2%",59,"32.0%"
"Russell Westbrook",30.9,HOU,Point,1757,46,"0.4%",67,"1.9%",20,"3.5%",93,"4.5%",98,"15.5%",0,"0.0%",98,"25.7%"
"Coby White",19.7,CHI,Combo,1454,16,"0.2%",49,"1.3%",69,"2.8%",31,"1.7%",87,"14.0%",0,"0.0%",48,"4.2%"
"Derrick White",25.3,SAS,Combo,1303,98,"1.6%",28,"1.1%",28,"3.7%",52,"2.2%",56,"10.3%",85,"1.8%",87,"10.8%"
"Hassan Whiteside",30.3,POR,Big,1737,97,"4.8%",10,"0.6%",65,"3.5%",94,"12.9%",98,"29.2%",46,"1.4%",85,"44.3%"
"Andrew Wiggins",24.6,MIN,Wing,1443,85,"1.2%",12,"0.8%",79,"2.5%",75,"3.1%",69,"11.8%",67,"1.2%",52,"7.2%"
"Andrew Wiggins",24.6,GSW,Wing,224,99,"2.2%",94,"2.3%",93,"2.1%",82,"3.8%",20,"7.8%",0,"0.0%",50,"7.1%"
"Grant Williams",20.9,BOS,Big,824,53,"1.8%",65,"1.3%",10,"6.1%",39,"6.1%",3,"10.0%",0,"0.0%",11,"13.0%"
"Johnathan Williams",24.4,WAS,Big,113,51,"1.7%",3,"0.4%",81,"3.0%",78,"10.5%",83,"21.8%",0,"0.0%",5,"10.0%"
"Kenrich Williams",24.9,NOP,Big,756,37,"1.4%",73,"1.4%",42,"4.2%",38,"5.9%",32,"15.4%",54,"2.3%",42,"26.2%"
"Lou Williams",33.0,LAC,Combo,1620,31,"0.3%",13,"0.9%",100,"1.6%",25,"1.5%",18,"8.1%",0,"0.0%",51,"4.2%"
"Marvin Williams",33.3,CHA,Big,804,42,"1.5%",72,"1.4%",68,"3.4%",4,"2.0%",10,"12.4%",0,"0.0%",3,"6.4%"
"Robert Williams",22.0,BOS,Big,260,92,"4.1%",100,"3.0%",31,"4.9%",61,"8.9%",83,"21.9%",0,"0.0%",23,"20.0%"
"Zion Williamson",19.3,NOP,Big,394,9,"0.6%",49,"1.1%",97,"2.0%",87,"11.8%",5,"10.3%",63,"3.3%",58,"31.2%"
"D.J. Wilson",23.6,MIL,Big,129,5,"0.4%",0,"0.0%",54,"3.9%",15,"3.4%",36,"15.9%",0,"0.0%",12,"14.3%"
"Justise Winslow",23.6,MIA,Combo,338,75,"0.8%",11,"0.9%",10,"4.2%",98,"4.9%",100,"16.0%",0,"0.0%",84,"9.5%"
"Christian Wood",24.0,DET,Big,1087,69,"2.4%",44,"1.0%",82,"2.9%",54,"8.0%",78,"21.0%",96,"10.6%",78,"39.1%"
"Delon Wright",27.5,DAL,Combo,1193,67,"0.7%",85,"2.1%",79,"2.6%",97,"4.8%",74,"12.4%",97,"2.9%",33,"2.9%"
"Thaddeus Young",31.3,CHI,Big,1436,12,"0.7%",96,"2.3%",77,"3.1%",35,"5.7%",14,"13.1%",44,"1.4%",57,"30.8%"
"Trae Young",21.1,ATL,Point,1944,9,"0.1%",33,"1.3%",96,"1.7%",22,"1.4%",57,"10.6%",91,"2.1%",57,"4.0%"
"Cody Zeller",27.0,CHA,Big,1215,26,"1.1%",66,"1.3%",47,"4.0%",85,"11.6%",62,"19.4%",0,"0.0%",51,"29.2%"
"Ante Zizic",22.8,CLE,Big,135,27,"1.1%",67,"1.3%",35,"4.5%",63,"9.0%",79,"21.3%",0,"0.0%",91,"50.0%"
"Ivica Zubac",22.6,LAC,Big,1047,76,"2.6%",6,"0.4%",29,"4.9%",97,"14.0%",86,"22.4%",0,"0.0%",81,"42.9%"