Player,Age,Team,Pos,MIN,Usage,"",PSA,"","AST%","","AST:Usg","","TOV%",""
"","","","","","%","#","%","#","%","#","%","#","%","#"
"Steven Adams",26.2,OKC,Big,1448,59,"17.0%",65,120.8,85,"13.7%",87,0.80,48,"13.8%"
"Bam Adebayo",22.2,MIA,Big,2035,85,"21.4%",66,121.2,99,"22.8%",98,1.07,17,"16.8%"
"LaMarcus Aldridge",34.2,SAS,Big,1706,88,"22.4%",49,116.0,77,"11.9%",43,0.53,92,"8.4%"
"Nickeil Alexander-Walker",21.1,NOP,Combo,444,72,"23.7%",15,94.5,56,"20.2%",48,0.86,26,"13.7%"
"Grayson Allen",24.0,MEM,Wing,466,54,"16.5%",70,115.9,59,"11.3%",64,0.68,50,"11.5%"
"Jarrett Allen",21.5,BKN,Big,1532,25,"13.5%",87,132.6,40,"7.8%",55,0.58,62,"12.9%"
"Al-Farouq Aminu",29.1,ORL,Forward,380,27,"13.6%",1,77.2,61,"8.8%",70,0.65,18,"14.0%"
"Kyle Anderson",26.1,MEM,Forward,979,37,"14.2%",43,107.2,88,"15.9%",93,1.12,31,"13.1%"
"Giannis Antetokounmpo",24.9,MIL,Big,1621,100,"37.4%",72,122.9,99,"33.0%",90,0.88,60,"13.2%"
"Carmelo Anthony",35.4,POR,Big,1467,82,"21.2%",7,100.9,22,"6.3%",3,0.30,78,"11.1%"
"OG Anunoby",22.2,TOR,Forward,1697,31,"13.7%",73,116.8,43,"7.6%",54,0.55,39,"12.8%"
"Ryan Arcidiacono",25.6,CHI,Wing,843,24,"13.0%",53,111.1,77,"14.7%",95,1.13,21,"13.9%"
"Trevor Ariza",34.3,POR,Forward,530,7,"11.4%",91,124.2,31,"6.8%",64,0.59,15,"14.9%"
"Trevor Ariza",34.3,SAC,Forward,768,6,"11.4%",39,106.3,63,"9.2%",87,0.81,34,"13.0%"
"D.J. Augustin",31.9,ORL,Point,1083,30,"21.6%",61,111.4,46,"28.1%",78,1.31,74,"11.3%"
"Deandre Ayton",21.2,PHX,Big,950,85,"21.4%",46,114.5,58,"9.2%",24,0.43,53,"13.6%"
"Dwayne Bacon",24.1,CHA,Wing,645,73,"20.2%",3,84.2,67,"12.2%",47,0.60,36,"12.7%"
"Marvin Bagley",20.6,SAC,Big,326,91,"22.9%",11,102.9,10,"5.2%",1,0.23,82,"10.4%"
"Lonzo Ball",22.0,NOP,Combo,1610,59,"20.9%",36,102.5,87,"28.9%",95,1.38,5,"17.7%"
"Mohamed Bamba",21.4,ORL,Big,800,48,"15.8%",37,111.3,32,"7.3%",31,0.46,49,"13.7%"
"J.J. Barea",35.3,DAL,Point,273,83,"31.5%",48,108.7,98,"38.4%",65,1.22,30,"14.5%"
"Harrison Barnes",27.4,SAC,Forward,2032,63,"17.2%",63,114.5,66,"9.3%",51,0.54,81,"9.4%"
"RJ Barrett",19.3,NYK,Wing,1476,84,"23.2%",12,93.9,68,"12.2%",29,0.52,30,"13.1%"
"Will Barton",28.8,DEN,Wing,1690,77,"20.7%",41,107.7,82,"16.2%",78,0.78,73,"9.5%"
"Keita Bates-Diop",23.7,MIN,Big,613,37,"14.6%",24,107.9,37,"7.7%",41,0.53,98,"6.1%"
"Nicolas Batum",30.8,CHA,Wing,488,16,"11.9%",11,93.8,86,"17.4%",99,1.47,4,"17.3%"
"Aron Baynes",32.8,PHX,Big,826,73,"18.9%",48,115.3,76,"11.8%",65,0.62,69,"12.1%"
"Kent Bazemore",30.3,POR,Wing,1068,46,"15.4%",18,98.2,21,"7.3%",21,0.48,13,"14.5%"
"Kent Bazemore",30.3,SAC,Forward,337,78,"19.8%",46,108.3,24,"6.5%",9,0.33,57,"11.4%"
"Darius Bazley",19.3,OKC,Big,854,24,"13.4%",4,94.2,3,"4.2%",4,0.32,58,"13.2%"
"Bradley Beal",26.3,WAS,Wing,1818,99,"34.9%",71,116.0,97,"27.9%",80,0.80,51,"11.4%"
"Malik Beasley",22.9,DEN,Wing,691,64,"18.4%",28,103.8,38,"9.0%",22,0.49,45,"11.7%"
"Malik Beasley",22.9,MIN,Wing,266,79,"21.5%",73,116.1,46,"9.8%",18,0.46,85,"7.8%"
"Marco Belinelli",33.6,SAS,Wing,696,53,"16.3%",16,96.9,56,"10.8%",58,0.67,100,"5.7%"
"Jordan Bell",24.8,MIN,Big,198,37,"14.4%",52,116.7,53,"8.7%",60,0.60,10,"18.8%"
"DeAndre' Bembry",25.3,ATL,Combo,860,7,"14.3%",28,100.4,23,"13.1%",59,0.92,7,"17.6%"
"Davis Bertans",26.9,WAS,Forward,1386,57,"16.5%",97,125.7,55,"8.0%",36,0.49,88,"8.7%"
"Patrick Beverley",31.3,LAC,Point,1180,2,"14.5%",70,113.1,9,"18.3%",76,1.27,46,"13.5%"
"Khem Birch",27.0,ORL,Big,731,4,"9.3%",13,104.5,23,"6.3%",74,0.68,42,"14.2%"
"Goga Bitadze",20.2,IND,Big,328,44,"15.3%",8,101.9,41,"7.8%",39,0.51,22,"15.9%"
"Bismack Biyombo",27.1,CHA,Big,961,47,"15.8%",42,113.0,40,"7.8%",38,0.50,47,"13.8%"
"Nemanja Bjelica",31.4,SAC,Big,1676,64,"17.3%",65,120.6,87,"14.2%",90,0.82,63,"12.8%"
"Eric Bledsoe",29.8,MIL,Point,1385,67,"26.8%",80,116.9,43,"27.6%",26,1.03,39,"13.9%"
"Bogdan Bogdanovic",27.2,SAC,Wing,1339,82,"22.9%",50,110.2,88,"18.0%",79,0.79,52,"11.3%"
"Bojan Bogdanovic",30.5,UTA,Forward,1929,90,"23.9%",87,121.3,67,"9.6%",22,0.40,19,"13.9%"
"Isaac Bonga",19.9,WAS,Forward,859,1,"9.8%",96,125.3,46,"7.7%",82,0.78,6,"17.8%"
"Devin Booker",23.0,PHX,Wing,2077,96,"30.5%",92,123.9,98,"28.2%",89,0.92,9,"15.3%"
"Chris Boucher",26.8,TOR,Big,592,56,"16.4%",47,114.6,12,"5.4%",5,0.33,97,"6.5%"
"Ky Bowman",22.3,GSW,Point,906,13,"18.7%",9,96.3,20,"21.3%",50,1.14,13,"16.2%"
"Avery Bradley",28.9,LAL,Combo,1025,5,"14.2%",52,107.7,2,"6.7%",2,0.47,54,"11.9%"
"Tony Bradley",21.8,UTA,Big,413,20,"13.0%",85,131.5,2,"4.1%",4,0.32,29,"15.3%"
"Mikal Bridges",23.1,PHX,Wing,1560,12,"11.6%",93,124.7,33,"8.7%",73,0.75,27,"13.3%"
"Miles Bridges",21.6,CHA,Forward,1748,72,"18.6%",45,108.3,64,"9.3%",43,0.50,49,"11.6%"
"Ryan Broekhoff",29.1,DAL,Forward,132,42,"14.4%",13,95.7,39,"7.4%",45,0.51,99,"4.3%"
"Malcolm Brogdon",26.8,IND,Combo,1423,92,"29.4%",51,107.4,98,"35.3%",85,1.20,56,"11.7%"
"Dillon Brooks",23.7,MEM,Wing,1706,86,"23.4%",26,102.9,52,"10.3%",14,0.44,62,"10.2%"
"Bruce Brown",23.2,DET,Combo,1523,31,"17.9%",34,102.2,57,"20.3%",79,1.13,15,"15.3%"
"Jaylen Brown",23.0,BOS,Wing,1652,85,"23.3%",79,117.8,50,"10.0%",13,0.43,36,"12.6%"
"Sterling Brown",24.7,MIL,Wing,503,40,"15.1%",24,102.4,26,"7.9%",28,0.52,37,"12.5%"
"Troy Brown",20.2,WAS,Wing,1293,49,"15.9%",50,110.1,66,"12.2%",76,0.76,68,"9.8%"
"Jalen Brunson",23.1,DAL,Point,954,46,"23.4%",33,106.7,39,"25.8%",43,1.10,65,"11.8%"
"Thomas Bryant",22.2,WAS,Big,795,60,"17.0%",84,129.8,76,"11.7%",75,0.69,57,"13.3%"
"Reggie Bullock",28.6,NYK,Wing,611,43,"15.2%",21,100.9,32,"8.4%",35,0.55,96,"6.5%"
"Trey Burke",26.9,PHI,Point,273,26,"20.5%",67,112.5,37,"25.8%",72,1.26,98,"8.7%"
"Alec Burks",28.2,PHI,Combo,117,69,"23.4%",18,96.6,44,"18.2%",34,0.78,100,"4.8%"
"Alec Burks",28.2,GSW,Wing,1368,87,"24.0%",54,111.1,89,"18.0%",74,0.75,71,"9.7%"
"Deonte Burton",25.7,OKC,Forward,219,60,"16.7%",0,65.8,19,"6.2%",15,0.38,76,"9.9%"
"Jimmy Butler",30.1,MIA,Wing,1702,94,"27.9%",77,117.4,99,"28.6%",93,1.02,58,"10.6%"
"Bruno Caboclo",24.1,MEM,Big,150,35,"14.1%",3,90.7,21,"6.1%",25,0.43,99,"5.8%"
"Kentavious Caldwell-Pope",26.6,LAL,Wing,1449,31,"13.6%",75,117.3,36,"8.9%",55,0.65,59,"10.5%"
"Clint Capela",25.4,HOU,Big,1265,24,"13.5%",77,124.6,13,"5.6%",22,0.41,33,"14.9%"
"DeMarre Carroll",33.2,SAS,Forward,105,33,"13.8%",15,95.8,69,"10.5%",79,0.76,1,"26.5%"
"Jevon Carter",24.1,PHX,Combo,595,3,"13.6%",70,110.5,26,"14.0%",66,1.03,49,"12.5%"
"Vince Carter",42.7,ATL,Big,758,49,"16.0%",4,94.8,51,"8.5%",42,0.53,78,"11.1%"
"Wendell Carter",20.5,CHI,Big,1125,45,"15.4%",51,116.4,21,"6.3%",21,0.41,28,"15.3%"
"Michael Carter-Williams",28.0,ORL,Combo,647,39,"18.9%",33,101.3,67,"21.6%",82,1.14,36,"13.1%"
"Alex Caruso",25.6,LAL,Combo,926,8,"15.1%",57,108.1,21,"12.8%",44,0.85,39,"13.0%"
"Willie Cauley-Stein",26.2,GSW,Big,918,26,"13.5%",45,114.1,64,"10.0%",79,0.74,69,"12.1%"
"Tyson Chandler",37.0,HOU,Big,219,0,"5.1%",99,145.5,1,"3.7%",78,0.73,1,"29.1%"
"Wilson Chandler",32.4,BKN,Big,621,18,"13.0%",33,110.2,44,"8.0%",64,0.62,21,"16.0%"
"Chris Chiozza",23.9,WAS,Point,102,15,"18.8%",0,67.9,89,"36.6%",100,1.95,43,"13.6%"
"Marquese Chriss",22.3,GSW,Big,989,71,"18.2%",64,120.6,88,"14.2%",86,0.78,20,"16.1%"
"Gary Clark",24.9,HOU,Big,185,13,"12.2%",15,105.5,33,"7.4%",61,0.61,100,"3.8%"
"Gary Clark",24.9,ORL,Wing,157,1,"8.9%",25,102.8,0,"1.0%",0,0.11,99,"6.0%"
"Brandon Clarke",23.1,MEM,Big,1044,50,"16.0%",92,135.5,61,"9.7%",62,0.61,81,"10.5%"
"Jordan Clarkson",27.4,CLE,Wing,654,93,"25.8%",83,120.1,93,"18.8%",70,0.73,64,"10.1%"
"Jordan Clarkson",27.4,UTA,Wing,723,89,"24.4%",79,118.3,42,"9.6%",10,0.39,80,"8.5%"
"Nicolas Claxton",20.5,BKN,Big,157,29,"13.7%",35,111.1,83,"13.3%",94,0.97,71,"12.0%"
"Chris Clemons",22.2,HOU,Combo,175,48,"20.0%",25,98.7,11,"11.4%",7,0.57,97,"7.4%"
"John Collins",22.1,ATL,Big,1163,77,"19.8%",87,132.5,38,"7.8%",18,0.39,75,"11.7%"
"Mike Conley",32.0,UTA,Point,1008,54,"24.7%",24,104.3,26,"22.7%",15,0.92,70,"11.6%"
"Pat Connaughton",26.8,MIL,Wing,881,8,"11.2%",64,113.4,43,"9.7%",86,0.86,17,"14.2%"
"Quinn Cook",26.6,LAL,Combo,310,36,"18.8%",39,102.5,25,"13.8%",26,0.73,34,"13.1%"
"Robert Covington",28.8,MIN,Forward,1406,55,"16.1%",67,115.1,10,"5.8%",13,0.36,25,"13.5%"
"Robert Covington",28.8,HOU,Big,289,41,"15.2%",38,111.8,17,"5.8%",13,0.38,79,"11.0%"
"Allen Crabbe",27.5,ATL,Wing,495,11,"11.5%",13,94.7,25,"7.9%",63,0.68,84,"8.0%"
"Allen Crabbe",27.5,MIN,Wing,131,9,"11.3%",1,78.8,11,"5.4%",21,0.48,18,"14.1%"
"Torrey Craig",28.8,DEN,Wing,773,6,"10.8%",57,111.9,10,"5.4%",24,0.50,63,"10.1%"
"Jae Crowder",29.3,MIA,Big,268,27,"13.6%",91,134.8,20,"6.1%",29,0.45,99,"4.7%"
"Jae Crowder",29.3,MEM,Forward,1316,52,"16.0%",28,101.6,76,"12.4%",81,0.78,66,"10.7%"
"Jarrett Culver",20.6,MIN,Combo,1307,38,"18.8%",10,88.5,8,"10.6%",5,0.56,66,"11.2%"
"Seth Curry",29.1,DAL,Combo,1318,25,"17.3%",98,129.9,15,"11.8%",20,0.68,89,"9.8%"
"Stephen Curry",31.6,GSW,Point,112,87,"32.5%",57,111.0,67,"33.8%",30,1.04,17,"15.8%"
"Troy Daniels",28.2,LAL,Wing,373,25,"13.1%",39,107.4,3,"3.9%",2,0.30,92,"7.1%"
"Anthony Davis",26.6,LAL,Big,1744,96,"27.4%",76,124.1,90,"15.3%",48,0.56,80,"10.9%"
"Ed Davis",30.4,UTA,Big,240,3,"8.4%",1,84.8,10,"5.2%",63,0.62,3,"24.4%"
"Terence Davis",22.4,TOR,Combo,961,20,"17.3%",89,117.1,18,"12.4%",23,0.72,44,"12.6%"
"Dewayne Dedmon",30.2,SAC,Big,519,60,"17.0%",5,94.8,3,"4.3%",2,0.26,4,"22.6%"
"Dewayne Dedmon",30.2,ATL,Big,137,33,"13.9%",10,102.3,1,"3.8%",3,0.28,71,"11.9%"
"Matthew Dellavedova",29.1,CLE,Combo,617,16,"16.8%",7,87.2,85,"28.0%",100,1.67,0,"18.8%"
"DeMar DeRozan",30.2,SAS,Forward,1899,97,"29.1%",84,121.1,96,"25.2%",88,0.87,63,"10.8%"
"Cheick Diallo",23.1,PHX,Big,359,31,"13.8%",94,136.5,46,"8.2%",58,0.59,24,"15.7%"
"Hamidou Diallo",21.2,OKC,Wing,610,42,"15.2%",14,96.6,7,"4.8%",3,0.31,28,"13.1%"
"Gorgui Dieng",29.7,MIN,Big,762,67,"17.7%",43,113.3,81,"12.7%",77,0.72,56,"13.3%"
"Gorgui Dieng",29.7,MEM,Big,127,22,"13.3%",29,109.5,15,"5.6%",22,0.42,87,"9.5%"
"Spencer Dinwiddie",26.5,BKN,Combo,1850,97,"32.8%",62,109.3,95,"34.7%",70,1.06,67,"11.2%"
"Donte DiVincenzo",22.7,MIL,Combo,1183,15,"16.2%",75,112.0,16,"12.1%",30,0.75,46,"12.6%"
"Luka Doncic",20.6,DAL,Wing,1573,100,"41.4%",81,119.5,100,"45.4%",93,1.10,23,"13.5%"
"Luguentz Dort",20.5,OKC,Wing,518,18,"12.3%",35,105.7,4,"4.1%",6,0.33,77,"9.2%"
"Damyean Dotson",25.4,NYK,Wing,740,48,"15.7%",44,108.2,55,"10.8%",64,0.68,95,"6.6%"
"Sekou Doumbouya",18.8,DET,Forward,617,48,"15.6%",16,96.7,1,"3.3%",0,0.22,28,"13.4%"
"PJ Dozier",23.0,DEN,Wing,208,66,"18.5%",17,97.4,78,"15.1%",81,0.82,53,"11.0%"
"Goran Dragic",33.4,MIA,Point,1354,72,"27.3%",78,116.4,52,"29.3%",37,1.08,37,"14.0%"
"Andre Drummond",26.2,CLE,Big,153,95,"25.8%",30,109.6,80,"12.6%",37,0.49,7,"20.9%"
"Andre Drummond",26.2,DET,Big,1635,94,"24.4%",32,110.0,84,"13.3%",46,0.55,11,"18.7%"
"Jared Dudley",34.3,LAL,Big,229,2,"8.4%",62,120.0,49,"8.4%",95,1.00,87,"9.5%"
"Kris Dunn",25.6,CHI,Point,1254,4,"16.5%",22,103.6,13,"20.1%",63,1.22,33,"14.3%"
"Carsen Edwards",21.6,BOS,Combo,231,28,"17.6%",3,83.9,13,"11.7%",16,0.67,90,"9.3%"
"Wayne Ellington",31.9,NYK,Combo,424,10,"15.1%",26,99.3,7,"9.6%",10,0.63,74,"10.8%"
"Joel Embiid",25.6,PHI,Big,1299,99,"31.8%",55,117.4,94,"18.3%",54,0.58,52,"13.6%"
"James Ennis",29.3,ORL,Wing,155,28,"13.6%",60,112.5,8,"5.1%",8,0.37,44,"11.9%"
"James Ennis",29.3,PHI,Wing,749,36,"14.4%",63,113.3,19,"6.8%",20,0.47,41,"11.9%"
"Jacob Evans",22.3,GSW,Wing,377,56,"17.1%",2,83.7,62,"11.5%",59,0.67,31,"13.0%"
"Dante Exum",24.3,CLE,Wing,382,44,"15.2%",86,121.1,64,"12.0%",79,0.79,11,"14.8%"
"Derrick Favors",28.2,NOP,Big,953,21,"13.2%",81,128.3,63,"9.9%",81,0.75,26,"15.6%"
"Cristiano Felicio",27.3,CHI,Big,373,4,"9.2%",90,134.4,8,"4.9%",42,0.53,5,"22.4%"
"Terrance Ferguson",21.4,OKC,Wing,1083,0,"8.8%",30,104.2,12,"5.5%",50,0.62,25,"13.5%"
"Bruno Fernando",21.2,ATL,Big,582,42,"15.2%",49,116.1,63,"9.9%",67,0.65,13,"18.0%"
"Yogi Ferrell",26.4,SAC,Point,428,22,"19.3%",20,103.3,7,"17.5%",11,0.91,72,"11.4%"
"Dorian Finney-Smith",26.4,DAL,Forward,1775,9,"12.0%",76,118.2,30,"6.7%",55,0.56,48,"11.6%"
"Bryn Forbes",26.2,SAS,Wing,1437,61,"17.7%",61,112.8,45,"9.8%",36,0.55,76,"9.2%"
"Evan Fournier",27.0,ORL,Wing,1858,88,"24.1%",84,120.9,84,"16.4%",61,0.68,49,"11.5%"
"De'Aaron Fox",21.8,SAC,Point,1250,89,"32.9%",52,109.7,76,"34.3%",33,1.04,52,"13.3%"
"Tim Frazier",28.9,DET,Point,310,35,"22.6%",7,93.6,96,"37.9%",96,1.68,0,"20.5%"
"Markelle Fultz",21.4,ORL,Combo,1651,67,"23.4%",43,103.9,79,"26.7%",80,1.14,23,"14.1%"
"Daniel Gafford",21.0,CHI,Big,491,17,"12.7%",89,134.0,8,"5.0%",17,0.39,22,"16.0%"
