Player,Age,Team,Pos,MIN,Usage,"",PSA,"","AST%","","AST:Usg","","TOV%",""
"Malik Monk",21.7,CHA,Wing,1126,81,"22.5%",42,107.8,85,"17.0%",75,0.76,32,"13.0%"
"E'Twaun Moore",30.6,NOP,Wing,858,69,"19.6%",30,104.2,57,"10.9%",36,0.56,81,"8.5%"
"Ja Morant",20.2,MEM,Point,1608,78,"29.7%",72,113.2,85,"35.1%",54,1.18,26,"15.2%"
"Marcus Morris",30.1,LAC,Big,210,69,"18.0%",6,96.2,39,"7.8%",24,0.43,34,"14.8%"
"Marcus Morris",30.1,NYK,Forward,1375,88,"23.0%",81,119.1,27,"6.7%",3,0.29,73,"9.9%"
"Markieff Morris",30.1,DET,Big,968,80,"20.4%",51,116.4,73,"11.0%",45,0.54,29,"15.2%"
"Monte Morris",24.3,DEN,Point,1199,17,"18.8%",41,107.9,30,"23.4%",70,1.24,100,"7.3%"
"Emmanuel Mudiay",23.6,UTA,Point,682,41,"23.3%",65,112.0,17,"21.2%",13,0.91,20,"15.6%"
"Dejounte Murray",23.1,SAS,Point,1307,37,"22.8%",50,109.1,33,"23.6%",28,1.04,24,"15.4%"
"Jamal Murray",22.6,DEN,Combo,1574,82,"26.4%",77,112.7,75,"22.6%",49,0.86,62,"11.5%"
"Dzanan Musa",20.4,BKN,Forward,345,69,"18.0%",7,91.3,75,"12.4%",73,0.69,12,"15.4%"
"Mike Muscala",28.3,OKC,Big,437,42,"15.2%",29,109.4,62,"9.8%",67,0.64,90,"8.7%"
"Sviatoslav Mykhailiuk",22.3,DET,Forward,1060,49,"15.7%",78,118.4,70,"10.7%",72,0.68,37,"12.8%"
"Abdel Nader",26.0,OKC,Forward,620,40,"14.3%",82,119.5,12,"5.9%",24,0.41,13,"15.0%"
"Larry Nance Jr.",26.8,CLE,Big,1261,38,"14.8%",63,120.1,78,"11.9%",88,0.81,74,"11.8%"
"Shabazz Napier",28.3,WAS,Point,198,57,"24.9%",63,111.6,41,"26.1%",35,1.05,22,"15.5%"
"Shabazz Napier",28.3,MIN,Point,836,39,"22.8%",43,108.1,63,"32.6%",83,1.43,11,"16.4%"
"Raul Neto",27.4,PHI,Point,451,11,"18.2%",74,115.2,22,"21.8%",59,1.19,4,"17.9%"
"Georges Niang",26.3,UTA,Big,648,33,"14.0%",60,119.5,14,"5.6%",19,0.40,79,"11.0%"
"Nerlens Noel",25.5,OKC,Big,923,30,"13.7%",98,142.9,50,"8.4%",63,0.62,17,"16.8%"
"Jaylen Nowell",20.3,MIN,Combo,111,46,"19.4%",13,93.6,38,"17.6%",57,0.91,98,"5.8%"
"Frank Ntilikina",21.2,NYK,Point,1029,9,"17.3%",11,97.6,15,"20.4%",57,1.18,15,"16.0%"
"Kendrick Nunn",24.2,MIA,Combo,1652,74,"23.8%",67,110.1,43,"18.1%",33,0.76,85,"10.3%"
"David Nwaba",26.7,BKN,Combo,248,2,"13.2%",93,122.5,0,"3.7%",0,0.28,87,"10.3%"
"Semi Ojeleye",24.9,BOS,Big,738,1,"7.5%",26,108.8,7,"4.8%",66,0.64,90,"8.6%"
"Jahlil Okafor",23.8,NOP,Big,414,74,"19.2%",79,127.3,82,"13.1%",74,0.68,15,"17.7%"
"Elie Okobo",22.0,PHX,Combo,606,21,"17.3%",30,100.6,62,"21.3%",87,1.23,30,"13.3%"
"Josh Okogie",21.1,MIN,Wing,1329,47,"15.5%",47,109.2,37,"9.0%",40,0.58,18,"14.1%"
"Victor Oladipo",27.4,IND,Wing,255,92,"25.7%",10,93.8,75,"14.4%",37,0.56,24,"13.5%"
"Kelly Olynyk",28.5,MIA,Big,977,51,"16.0%",78,126.0,81,"13.0%",88,0.81,31,"15.0%"
"Royce O'Neale",26.4,UTA,Wing,1701,2,"9.3%",87,121.1,58,"11.2%",97,1.20,34,"12.9%"
"Kyle O'Quinn",29.6,PHI,Big,196,63,"17.3%",12,103.2,93,"17.6%",96,1.02,19,"16.4%"
"Cedi Osman",24.5,CLE,Forward,1696,54,"16.0%",54,112.6,73,"11.8%",76,0.74,30,"13.2%"
"Kelly Oubre",23.8,PHX,Forward,1921,82,"20.5%",49,111.6,25,"6.6%",4,0.32,85,"9.0%"
"Jabari Parker",24.6,ATL,Big,832,88,"22.1%",44,113.5,66,"10.4%",34,0.47,50,"13.6%"
"Eric Paschall",22.9,GSW,Forward,1391,81,"20.3%",55,113.1,72,"11.0%",48,0.54,45,"12.1%"
"Anzejs Pasecniks",23.8,WAS,Big,334,49,"15.9%",21,107.0,28,"6.8%",23,0.43,24,"15.7%"
"Patrick Patterson",30.6,LAC,Big,515,23,"13.3%",40,112.4,26,"6.7%",38,0.51,95,"7.8%"
"Chris Paul",34.4,OKC,Point,1866,65,"26.6%",91,122.5,61,"31.3%",52,1.18,78,"10.9%"
"Elfrid Payton",25.6,NYK,Point,1048,48,"23.5%",4,90.4,80,"34.5%",87,1.47,61,"12.8%"
"Gary Payton II",26.9,WAS,Forward,363,28,"13.6%",9,93.9,84,"15.4%",94,1.13,40,"12.7%"
"Norvel Pelle",26.7,PHI,Big,135,12,"12.0%",35,111.1,13,"5.4%",29,0.45,1,"30.6%"
"Theo Pinson",23.9,BKN,Combo,288,84,"26.4%",0,77.3,72,"22.0%",41,0.83,8,"17.0%"
"Mason Plumlee",29.6,DEN,Big,784,72,"18.7%",62,119.6,96,"20.2%",99,1.08,12,"18.4%"
"Jakob Poeltl",24.0,SAS,Big,959,17,"12.9%",67,121.5,85,"13.6%",97,1.06,42,"14.2%"
"Jordan Poole",20.3,GSW,Combo,1052,52,"20.3%",8,88.1,30,"14.8%",25,0.73,74,"10.8%"
"Kevin Porter",19.4,CLE,Wing,1026,76,"20.6%",40,107.5,74,"14.1%",65,0.68,3,"18.0%"
"Michael Porter",21.3,DEN,Forward,564,76,"19.3%",85,121.2,40,"7.4%",16,0.38,51,"11.6%"
"Otto Porter",26.4,CHI,Wing,226,65,"18.4%",49,109.8,40,"9.2%",23,0.50,90,"7.2%"
"Bobby Portis",24.7,NYK,Big,1175,79,"20.1%",12,103.9,69,"10.8%",44,0.54,73,"11.8%"
"Kristaps Porzingis",24.2,DAL,Big,1407,93,"23.8%",28,109.1,43,"8.0%",6,0.34,87,"9.6%"
"Dwight Powell",28.2,DAL,Big,1047,11,"11.7%",93,136.5,35,"7.7%",69,0.66,62,"12.9%"
"Norman Powell",26.4,TOR,Wing,1074,68,"18.9%",95,126.1,41,"9.5%",25,0.50,48,"11.5%"
"Taurean Prince",25.6,BKN,Big,1716,75,"19.2%",9,102.3,58,"9.3%",37,0.48,35,"14.7%"
"Julius Randle",24.9,NYK,Big,1870,97,"27.5%",20,106.9,92,"16.6%",60,0.60,38,"14.5%"
"Cameron Reddish",20.1,ATL,Wing,1374,60,"17.5%",15,96.7,28,"8.0%",17,0.45,21,"13.9%"
"JJ Redick",35.3,NOP,Wing,1422,64,"18.1%",98,130.3,54,"10.7%",42,0.59,60,"10.4%"
"Naz Reid",20.1,MIN,Big,305,90,"22.7%",18,105.8,55,"8.9%",16,0.39,96,"7.7%"
"Josh Richardson",26.1,PHI,Combo,1432,64,"21.7%",48,105.2,31,"15.1%",21,0.70,43,"12.7%"
"Austin Rivers",27.2,HOU,Wing,1207,37,"14.8%",59,112.3,29,"8.0%",33,0.54,93,"6.8%"
"Duncan Robinson",25.5,MIA,Forward,1702,30,"13.6%",100,135.3,28,"6.7%",39,0.49,84,"9.3%"
"Jerome Robinson",22.6,LAC,Wing,380,34,"13.9%",0,68.0,61,"11.5%",83,0.83,7,"15.5%"
"Jerome Robinson",22.6,WAS,Wing,144,45,"15.3%",5,85.4,49,"10.0%",57,0.66,72,"9.5%"
"Mitchell Robinson",21.5,NYK,Big,1193,10,"11.2%",99,144.3,4,"4.4%",15,0.39,81,"10.4%"
"Glenn Robinson III",25.8,PHI,Forward,102,46,"15.2%",21,100.0,15,"6.0%",19,0.40,97,"5.7%"
"Glenn Robinson III",25.8,GSW,Wing,1488,39,"14.9%",69,115.1,35,"8.8%",43,0.59,66,"9.9%"
"Rajon Rondo",33.6,LAL,Point,877,43,"23.4%",15,102.3,78,"34.5%",89,1.47,9,"16.8%"
"Derrick Rose",31.0,DET,Point,1270,93,"34.4%",59,111.4,91,"37.2%",39,1.08,63,"12.2%"
"Terrence Ross",28.7,ORL,Wing,1557,74,"20.3%",48,109.6,21,"7.2%",7,0.36,86,"7.5%"
"Terry Rozier",25.6,CHA,Combo,1946,75,"24.0%",72,111.3,61,"20.8%",52,0.87,51,"12.4%"
"Ricky Rubio",29.0,PHX,Point,1644,52,"24.7%",26,104.6,93,"37.6%",91,1.52,28,"14.9%"
"D'Angelo Russell",23.6,MIN,Point,196,85,"32.3%",93,123.3,87,"35.4%",41,1.10,59,"13.2%"
"D'Angelo Russell",23.6,GSW,Combo,1044,98,"34.2%",74,111.5,93,"33.5%",62,0.98,57,"11.7%"
"Domantas Sabonis",23.4,IND,Big,1948,92,"23.4%",56,117.6,98,"21.3%",92,0.91,38,"14.5%"
"JaKarr Sampson",26.6,IND,Big,246,5,"9.5%",58,118.0,0,"1.5%",0,0.16,88,"9.4%"
"Dario Saric",25.5,PHX,Big,1299,55,"16.4%",36,111.1,74,"11.0%",70,0.67,55,"13.3%"
"Tomas Satoransky",28.0,CHI,Combo,1732,44,"19.3%",59,108.5,80,"27.1%",97,1.40,16,"14.8%"
"Admiral Schofield",22.5,WAS,Forward,240,4,"11.4%",21,100.0,34,"6.9%",66,0.60,60,"10.9%"
"Dennis Schroder",26.1,OKC,Combo,1802,85,"27.0%",84,115.8,69,"21.7%",39,0.80,31,"13.2%"
"Mike Scott",31.2,PHI,Big,947,14,"12.4%",16,105.7,4,"4.5%",11,0.37,97,"7.0%"
"Thabo Sefolosha",35.4,HOU,Big,399,7,"10.4%",3,90.6,45,"8.1%",85,0.78,60,"13.1%"
"Collin Sexton",20.8,CLE,Point,1890,70,"26.9%",54,110.5,4,"13.9%",2,0.52,76,"11.1%"
"Landry Shamet",22.6,LAC,Combo,1169,0,"12.4%",92,121.6,3,"8.4%",18,0.67,92,"9.0%"
"Iman Shumpert",29.3,BKN,Forward,239,24,"13.4%",3,77.3,49,"7.8%",61,0.58,22,"13.6%"
"Pascal Siakam",25.5,TOR,Forward,1670,94,"28.3%",52,112.5,87,"15.9%",57,0.56,67,"10.4%"
"Chris Silva",23.1,MIA,Big,248,58,"16.9%",74,123.7,59,"9.3%",47,0.55,2,"27.6%"
"Ben Simmons",23.2,PHI,Point,1928,50,"23.7%",89,120.8,72,"34.1%",85,1.44,2,"18.0%"
"Anfernee Simons",20.3,POR,Combo,1232,33,"18.4%",38,102.5,5,"9.2%",3,0.50,84,"10.3%"
"Alen Smailagic",19.2,GSW,Big,116,81,"21.0%",81,128.3,91,"15.6%",80,0.74,14,"17.9%"
"Marcus Smart",25.6,BOS,Combo,1539,49,"20.0%",46,104.6,70,"21.7%",74,1.09,80,"10.6%"
"Ish Smith",31.3,WAS,Point,1462,28,"20.8%",17,102.7,35,"25.4%",67,1.22,83,"9.8%"
"Dennis Smith Jr.",21.9,NYK,Point,523,63,"25.8%",2,80.0,50,"29.3%",48,1.13,7,"17.3%"
"Tony Snell",27.9,DET,Wing,1474,7,"11.1%",90,122.1,50,"10.3%",91,0.93,89,"7.2%"
"Omari Spellman",22.2,GSW,Big,794,65,"17.3%",41,112.6,48,"8.4%",36,0.48,28,"15.3%"
"Edmond Sumner",23.8,IND,Wing,244,50,"15.9%",33,105.5,69,"12.4%",77,0.78,33,"12.9%"
"Caleb Swanigan",22.5,POR,Big,190,26,"13.5%",42,112.8,62,"9.9%",78,0.73,0,"33.6%"
"Jayson Tatum",21.6,BOS,Forward,1891,93,"27.6%",57,113.1,79,"13.7%",40,0.49,75,"9.9%"
"Jeff Teague",31.3,ATL,Combo,408,54,"20.6%",20,97.7,84,"27.4%",92,1.33,11,"16.4%"
"Jeff Teague",31.3,MIN,Combo,936,79,"24.5%",85,116.3,92,"32.6%",93,1.33,25,"13.8%"
"Garrett Temple",33.4,BKN,Wing,1514,50,"16.2%",27,103.4,71,"13.3%",82,0.82,75,"9.3%"
"Daniel Theis",27.5,BOS,Big,1240,31,"13.8%",75,123.8,60,"9.7%",76,0.70,77,"11.5%"
"Isaiah Thomas",30.7,WAS,Point,921,59,"25.0%",30,105.0,24,"22.0%",7,0.88,41,"13.7%"
"Matt Thomas",25.2,TOR,Wing,243,20,"12.5%",99,139.5,34,"8.7%",67,0.69,93,"6.8%"
"Tristan Thompson",28.6,CLE,Big,1658,65,"17.6%",26,108.6,68,"10.5%",59,0.60,37,"14.6%"
"Matisse Thybulle",22.6,PHI,Wing,1001,7,"11.1%",36,105.8,30,"8.1%",71,0.73,7,"15.5%"
"Anthony Tolliver",34.4,POR,Big,514,8,"10.5%",21,107.1,31,"7.1%",72,0.68,30,"15.0%"
"Juan Toscano-Anderson",26.5,GSW,Wing,157,36,"14.1%",52,110.5,80,"15.6%",94,1.11,0,"21.8%"
"Karl-Anthony Towns",23.9,MIN,Big,1181,97,"27.8%",85,130.9,97,"21.0%",83,0.75,46,"13.9%"
"Gary Trent Jr.",20.7,POR,Wing,890,27,"13.6%",64,113.6,14,"6.1%",15,0.45,98,"6.0%"
"Allonzo Trier",23.7,NYK,Combo,199,61,"21.2%",95,123.8,36,"16.1%",31,0.76,2,"18.2%"
"PJ Tucker",34.4,HOU,Big,2026,3,"8.6%",58,117.6,17,"5.8%",72,0.68,31,"15.0%"
"Evan Turner",31.0,ATL,Wing,234,67,"18.6%",4,84.3,96,"23.4%",98,1.26,1,"21.7%"
"Myles Turner",23.6,IND,Big,1458,53,"16.1%",39,112.0,15,"5.7%",9,0.35,72,"11.9%"
"Jonas Valanciunas",27.4,MEM,Big,1468,78,"20.0%",74,123.7,67,"10.4%",40,0.52,49,"13.8%"
"Denzel Valentine",25.9,CHI,Wing,333,80,"22.3%",32,105.2,76,"14.5%",54,0.65,57,"10.7%"
"Fred VanVleet",25.6,TOR,Combo,1712,80,"24.8%",64,109.8,82,"27.3%",75,1.10,69,"11.1%"
"Noah Vonleh",24.1,MIN,Big,327,36,"14.3%",54,117.3,75,"11.4%",87,0.80,24,"15.7%"
"Nikola Vucevic",29.0,ORL,Big,1581,94,"24.5%",22,107.1,95,"18.4%",82,0.75,93,"8.1%"
"Moritz Wagner",22.5,WAS,Big,576,67,"17.8%",86,132.1,65,"10.3%",53,0.58,8,"19.7%"
"Kemba Walker",29.4,BOS,Point,1465,76,"28.8%",76,116.0,28,"23.0%",4,0.80,87,"9.6%"
"Lonnie Walker",20.8,SAS,Wing,642,58,"17.4%",45,108.6,24,"7.8%",16,0.45,55,"10.7%"
"Tyrone Wallace",25.3,ATL,Combo,130,13,"15.8%",2,79.5,20,"12.5%",38,0.79,2,"18.2%"
"Derrick Walton Jr.",24.5,LAC,Point,161,0,"8.9%",100,144.8,2,"12.0%",80,1.35,96,"8.8%"
"Brad Wanamaker",30.2,BOS,Combo,1015,26,"17.5%",82,114.0,48,"18.8%",72,1.07,20,"14.4%"
"TJ Warren",26.1,IND,Forward,1836,79,"20.3%",88,121.8,37,"7.2%",10,0.36,91,"8.6%"
"PJ Washington",21.1,CHA,Big,1535,62,"17.2%",28,109.2,74,"11.3%",68,0.66,44,"14.1%"
"Russell Westbrook",30.9,HOU,Point,1757,98,"36.3%",39,107.8,70,"34.1%",17,0.94,54,"13.3%"
"Coby White",19.7,CHI,Combo,1454,70,"23.6%",41,102.7,33,"15.1%",11,0.64,61,"11.5%"
"Derrick White",25.3,SAS,Combo,1303,41,"19.0%",90,118.4,51,"19.7%",67,1.04,77,"10.6%"
"Hassan Whiteside",30.3,POR,Big,1737,66,"17.6%",80,127.9,19,"5.9%",6,0.34,32,"14.9%"
"Andrew Wiggins",24.6,MIN,Wing,1443,95,"28.1%",38,107.3,90,"18.2%",52,0.65,56,"10.7%"
"Andrew Wiggins",24.6,GSW,Wing,224,83,"23.2%",66,114.0,83,"16.2%",68,0.70,47,"11.6%"
"Grant Williams",20.9,BOS,Big,824,8,"11.1%",17,105.7,49,"8.4%",83,0.76,16,"16.8%"
"Johnathan Williams",24.4,WAS,Big,113,1,"8.3%",82,128.6,27,"6.8%",89,0.81,55,"13.3%"
"Kenrich Williams",24.9,NOP,Big,756,6,"9.5%",2,89.0,54,"8.8%",93,0.93,67,"12.1%"
"Lou Williams",33.0,LAC,Combo,1620,93,"30.8%",69,110.3,90,"30.2%",64,0.98,28,"13.4%"
"Marvin Williams",33.3,CHA,Big,804,19,"13.0%",61,119.6,36,"7.7%",56,0.59,83,"10.1%"
"Robert Williams",22.0,BOS,Big,260,10,"11.4%",88,133.3,67,"10.5%",92,0.92,3,"23.5%"
"Zion Williamson",19.3,NOP,Big,394,96,"27.3%",69,121.7,79,"12.3%",28,0.45,54,"13.5%"
"D.J. Wilson",23.6,MIL,Big,129,13,"12.3%",38,111.8,57,"9.2%",81,0.75,12,"18.4%"
"Justise Winslow",23.6,MIA,Combo,338,57,"20.8%",5,86.1,41,"18.0%",54,0.87,33,"13.1%"
"Christian Wood",24.0,DET,Big,1087,79,"20.0%",83,129.7,29,"7.0%",8,0.35,66,"12.5%"
"Delon Wright",27.5,DAL,Combo,1193,23,"17.3%",79,113.2,74,"22.1%",89,1.28,70,"11.0%"
"Thaddeus Young",31.3,CHI,Big,1436,71,"18.5%",14,104.6,71,"10.8%",56,0.58,36,"14.6%"
"Trae Young",21.1,ATL,Point,1944,100,"38.7%",87,119.7,100,"42.6%",46,1.10,35,"14.3%"
"Cody Zeller",27.0,CHA,Big,1215,74,"19.0%",46,114.4,70,"10.8%",52,0.57,67,"12.3%"
"Ante Zizic",22.8,CLE,Big,135,38,"14.8%",92,135.7,25,"6.5%",27,0.44,6,"22.0%"
"Ivica Zubac",22.6,LAC,Big,1047,46,"15.4%",72,123.4,53,"8.6%",49,0.56,65,"12.6%"