Player,Age,Team,Pos,MIN,"eFG%","",Rim,"","Short Mid","","Long Mid","","All Mid","","Corner Three","","Non Corner","","All Three",""
"Langston Galloway",27.8,DET,Wing,1551,82,"56.6%",12,"14%",60,"17%",46,"8%",45,"25%",91,"25%",57,"36%",84,"61%"
"Darius Garland",19.7,CLE,Combo,1761,26,"47.2%",29,"23%",79,"24%",60,"13%",74,"37%",61,"9%",53,"32%",50,"40%"
"Marc Gasol",34.7,TOR,Big,966,36,"53.3%",9,"21%",61,"19%",72,"8%",64,"28%",47,"5%",94,"47%",84,"52%"
"Rudy Gay",33.2,SAS,Big,1201,13,"49.6%",13,"23%",86,"28%",90,"16%",94,"44%",74,"10%",62,"23%",62,"33%"
"Paul George",29.5,LAC,Wing,1121,59,"53.1%",34,"20%",54,"15%",88,"18%",81,"34%",23,"7%",69,"39%",51,"46%"
"Taj Gibson",34.3,NYK,Big,938,68,"58.7%",71,"62%",38,"15%",96,"19%",78,"34%",35,"2%",27,"2%",27,"4%"
"Harry Giles",21.5,SAC,Big,508,55,"56.0%",51,"48%",89,"29%",99,"23%",99,"52%",0,"0%",0,"0%",0,"0%"
"Shai Gilgeous-Alexander",21.3,OKC,Wing,2130,43,"50.8%",73,"38%",97,"28%",64,"12%",90,"40%",4,"3%",13,"19%",5,"22%"
"Rudy Gobert",27.3,UTA,Big,2006,98,"69.5%",97,"90%",16,"10%",0,"0%",11,"10%",0,"0%",0,"0%",0,"0%"
"Brandon Goodwin",24.0,ATL,Combo,370,31,"48.1%",50,"29%",61,"21%",40,"8%",47,"29%",52,"8%",65,"34%",58,"42%"
"Aaron Gordon",24.1,ORL,Forward,1772,31,"48.9%",66,"39%",69,"20%",81,"14%",80,"33%",10,"6%",21,"22%",10,"28%"
"Eric Gordon",30.8,HOU,Wing,919,31,"48.7%",50,"28%",18,"8%",10,"2%",7,"10%",13,"6%",96,"56%",85,"62%"
"Devonte' Graham",24.6,CHA,Point,2041,26,"49.2%",11,"17%",28,"14%",40,"11%",17,"26%",34,"4%",98,"54%",96,"58%"
"Treveon Graham",26.0,ATL,Forward,183,14,"44.4%",43,"30%",83,"22%",21,"2%",54,"24%",59,"14%",69,"32%",69,"46%"
"Treveon Graham",26.0,MIN,Forward,626,4,"40.1%",69,"40%",56,"17%",0,"0%",31,"17%",39,"12%",64,"31%",54,"43%"
"Jerami Grant",25.6,DEN,Big,1544,48,"54.9%",43,"42%",32,"14%",77,"9%",51,"23%",76,"12%",61,"23%",64,"35%"
"Danny Green",32.3,LAL,Wing,1440,75,"55.7%",24,"17%",21,"9%",34,"6%",18,"14%",98,"31%",67,"38%",93,"69%"
"Draymond Green",29.6,GSW,Forward,1219,20,"45.0%",49,"32%",66,"19%",67,"11%",73,"30%",6,"4%",71,"34%",40,"38%"
"JaMychal Green",29.3,LAC,Big,1009,31,"52.5%",19,"27%",11,"7%",30,"2%",10,"9%",87,"17%",96,"48%",92,"64%"
"Javonte Green",26.2,BOS,Wing,309,70,"55.0%",99,"59%",61,"17%",7,"1%",30,"18%",39,"10%",7,"13%",6,"23%"
"Jeff Green",33.1,UTA,Forward,546,33,"48.9%",44,"31%",73,"20%",37,"4%",56,"24%",86,"20%",37,"25%",66,"45%"
"Blake Griffin",30.6,DET,Big,512,1,"40.2%",42,"41%",36,"15%",50,"4%",34,"19%",72,"10%",71,"30%",70,"40%"
"Marko Guduric",24.6,MEM,Wing,396,22,"47.6%",56,"31%",30,"10%",45,"8%",33,"18%",61,"15%",55,"36%",61,"51%"
"Rui Hachimura",21.7,WAS,Big,1077,30,"52.4%",49,"47%",60,"19%",96,"20%",87,"39%",49,"5%",38,"10%",38,"14%"
"Tim Hardaway Jr.",27.6,DAL,Wing,1653,78,"56.1%",27,"18%",48,"14%",70,"13%",57,"28%",55,"14%",75,"41%",69,"55%"
"James Harden",30.1,HOU,Combo,2094,82,"53.8%",48,"29%",55,"19%",3,"1%",24,"21%",13,"3%",92,"48%",82,"51%"
"Maurice Harkless",26.4,NYK,Wing,174,87,"57.3%",96,"55%",5,"4%",11,"2%",1,"6%",32,"9%",45,"30%",35,"38%"
"Maurice Harkless",26.4,LAC,Forward,1122,90,"58.1%",99,"61%",7,"5%",31,"3%",13,"8%",80,"19%",7,"12%",23,"31%"
"Montrezl Harrell",25.7,LAC,Big,1621,67,"58.3%",84,"75%",72,"22%",32,"2%",56,"25%",0,"0%",19,"1%",12,"1%"
"Gary Harris",25.1,DEN,Wing,1647,18,"47.2%",68,"35%",63,"17%",56,"10%",54,"27%",49,"12%",33,"26%",34,"38%"
"Joe Harris",28.1,BKN,Wing,1831,86,"57.1%",62,"33%",30,"10%",30,"5%",23,"15%",34,"9%",78,"42%",64,"52%"
"Tobias Harris",27.2,PHI,Forward,2135,56,"53.0%",40,"30%",90,"26%",84,"15%",89,"41%",9,"6%",27,"23%",14,"29%"
"Shaquille Harrison",26.0,CHI,Wing,307,67,"54.1%",100,"60%",66,"17%",5,"1%",31,"18%",43,"11%",5,"11%",4,"22%"
"Josh Hart",24.6,NOP,Forward,1450,63,"54.4%",34,"28%",4,"5%",23,"2%",7,"7%",81,"19%",89,"45%",89,"64%"
"Isaiah Hartenstein",21.4,HOU,Big,224,94,"67.2%",87,"76%",62,"19%",21,"2%",43,"21%",0,"0%",29,"3%",25,"3%"
"Jaxson Hayes",19.4,NOP,Big,896,95,"68.0%",98,"91%",13,"9%",0,"0%",9,"9%",19,"0%",0,"0%",11,"0%"
"Gordon Hayward",29.6,BOS,Forward,1426,80,"56.2%",37,"29%",86,"25%",87,"17%",90,"42%",14,"7%",23,"22%",16,"29%"
"John Henson",28.8,DET,Big,140,96,"68.1%",77,"67%",81,"26%",0,"0%",60,"26%",61,"8%",0,"0%",31,"8%"
"John Henson",28.8,CLE,Big,405,40,"53.8%",55,"51%",76,"23%",21,"2%",57,"25%",58,"7%",50,"17%",51,"24%"
"Juan Hernangomez",24.0,DEN,Forward,370,6,"40.8%",70,"40%",39,"14%",11,"1%",29,"15%",47,"13%",70,"33%",67,"46%"
"Juan Hernangomez",24.0,MIN,Big,288,63,"56.9%",52,"48%",7,"6%",24,"2%",7,"8%",64,"8%",84,"36%",77,"44%"
"Willy Hernangomez",25.4,CHA,Big,259,23,"51.5%",64,"58%",88,"29%",26,"2%",72,"31%",33,"2%",38,"10%",35,"12%"
"Tyler Herro",19.7,MIA,Wing,1211,42,"50.5%",25,"18%",47,"14%",93,"23%",89,"37%",30,"8%",65,"37%",49,"46%"
"Mario Hezonja",24.6,POR,Forward,638,17,"44.8%",83,"44%",51,"16%",66,"9%",60,"25%",13,"6%",33,"24%",21,"31%"
"Buddy Hield",26.8,SAC,Wing,1944,65,"54.0%",22,"17%",31,"11%",81,"16%",52,"27%",44,"11%",88,"46%",73,"57%"
"George Hill",33.4,MIL,Combo,1069,100,"64.5%",68,"37%",26,"12%",39,"7%",21,"20%",81,"12%",56,"32%",63,"43%"
"Solomon Hill",28.6,MEM,Forward,866,51,"52.3%",11,"19%",37,"13%",61,"7%",41,"20%",79,"19%",84,"41%",83,"60%"
"Aaron Holiday",23.0,IND,Point,1171,43,"50.1%",53,"28%",38,"17%",55,"15%",36,"32%",66,"7%",60,"33%",62,"40%"
"Jrue Holiday",29.3,NOP,Combo,1805,65,"50.9%",82,"40%",63,"21%",27,"6%",37,"27%",26,"5%",39,"27%",29,"32%"
"Justin Holiday",30.5,IND,Wing,1496,95,"59.7%",36,"22%",8,"6%",42,"7%",12,"13%",95,"28%",62,"37%",89,"65%"
"Rondae Hollis-Jefferson",24.8,TOR,Big,934,7,"46.7%",89,"79%",31,"14%",33,"2%",25,"16%",39,"3%",25,"2%",29,"5%"
"Richaun Holmes",26.0,SAC,Big,1073,92,"65.8%",74,"66%",87,"29%",57,"6%",79,"34%",0,"0%",0,"0%",0,"0%"
"Rodney Hood",27.0,POR,Forward,617,96,"60.7%",6,"13%",96,"30%",90,"18%",94,"48%",71,"16%",24,"23%",46,"39%"
"Al Horford",33.4,PHI,Big,1740,14,"49.7%",11,"22%",70,"22%",93,"17%",88,"39%",48,"5%",77,"34%",69,"39%"
"Danuel House",26.4,HOU,Forward,1609,76,"55.9%",41,"30%",17,"7%",14,"1%",11,"8%",97,"29%",73,"34%",86,"62%"
"Dwight Howard",33.8,LAL,Big,1127,99,"72.7%",95,"87%",23,"11%",13,"1%",16,"12%",22,"1%",0,"0%",13,"1%"
"Kevin Huerter",21.1,ATL,Wing,1573,53,"52.3%",26,"18%",71,"19%",59,"11%",66,"30%",37,"10%",80,"43%",66,"53%"
"DeAndre Hunter",21.9,ATL,Forward,1830,36,"49.2%",47,"31%",50,"15%",74,"12%",67,"28%",66,"15%",41,"26%",53,"41%"
"Chandler Hutchison",23.5,CHI,Forward,513,30,"48.0%",100,"62%",63,"19%",17,"2%",44,"20%",29,"9%",3,"8%",1,"18%"
"Serge Ibaka",30.1,TOR,Big,1259,61,"56.6%",29,"33%",86,"28%",86,"15%",93,"43%",38,"3%",60,"21%",52,"24%"
"Andre Iguodala",35.7,MIA,Forward,183,93,"58.6%",30,"28%",24,"8%",69,"11%",40,"19%",89,"22%",60,"31%",77,"53%"
"Ersan Ilyasova",32.4,MIL,Big,848,44,"54.3%",40,"41%",35,"14%",60,"6%",40,"20%",75,"12%",68,"27%",68,"38%"
"Joe Ingles",32.0,UTA,Forward,1791,77,"55.9%",14,"21%",47,"15%",34,"3%",33,"18%",54,"13%",90,"47%",84,"61%"
"Brandon Ingram",22.1,NOP,Forward,1797,60,"54.1%",53,"32%",64,"19%",86,"16%",86,"35%",30,"10%",26,"23%",26,"32%"
"Kyrie Irving",27.6,BKN,Point,658,81,"54.4%",43,"26%",70,"25%",64,"17%",72,"41%",23,"3%",51,"29%",43,"32%"
"Jonathan Isaac",22.0,ORL,Big,941,19,"50.5%",45,"43%",42,"15%",85,"15%",70,"30%",58,"7%",55,"19%",54,"27%"
"Wes Iwundu",24.8,ORL,Forward,713,10,"42.7%",54,"33%",59,"18%",91,"18%",87,"36%",46,"12%",19,"19%",24,"32%"
"Frank Jackson",21.4,NOP,Point,548,34,"49.5%",38,"26%",51,"21%",28,"10%",32,"30%",96,"17%",45,"27%",77,"44%"
"Jaren Jackson",20.1,MEM,Big,1501,59,"56.5%",25,"31%",70,"22%",23,"2%",54,"24%",72,"10%",81,"35%",77,"45%"
"Josh Jackson",22.7,MEM,Forward,262,37,"50.0%",63,"38%",54,"17%",44,"5%",47,"21%",50,"13%",44,"27%",50,"40%"
"Justin Jackson",24.5,DAL,Forward,766,24,"46.9%",24,"25%",89,"26%",43,"4%",74,"30%",36,"10%",76,"34%",57,"44%"
"Reggie Jackson",29.5,LAC,Wing,106,100,"69.1%",33,"19%",96,"28%",0,"0%",58,"28%",67,"17%",58,"36%",67,"53%"
"Reggie Jackson",29.5,DET,Point,375,13,"45.9%",15,"21%",91,"29%",21,"9%",60,"38%",47,"5%",72,"36%",66,"41%"
"Justin James",22.7,SAC,Wing,173,8,"44.0%",63,"33%",69,"18%",72,"14%",77,"31%",64,"16%",17,"20%",28,"35%"
"LeBron James",34.8,LAL,Forward,1978,67,"54.9%",87,"46%",33,"12%",79,"13%",59,"25%",3,"2%",46,"27%",17,"29%"
"Ty Jerome",22.3,PHX,Combo,227,13,"42.4%",15,"19%",90,"31%",47,"10%",84,"41%",58,"9%",58,"32%",53,"41%"
"Cameron Johnson",23.6,PHX,Forward,969,73,"55.1%",13,"20%",10,"6%",57,"6%",23,"12%",99,"30%",80,"38%",91,"68%"
"James Johnson",32.6,MIN,Big,243,65,"57.4%",60,"56%",25,"12%",48,"4%",26,"16%",50,"5%",60,"22%",56,"28%"
"James Johnson",32.6,MIA,Big,263,46,"54.5%",40,"41%",23,"12%",0,"0%",14,"12%",77,"12%",81,"35%",81,"47%"
"Tyler Johnson",27.4,PHX,Combo,509,19,"44.9%",31,"23%",32,"14%",77,"18%",55,"32%",55,"8%",68,"36%",66,"45%"
"Nikola Jokic",24.6,DEN,Big,1964,64,"57.2%",26,"32%",92,"32%",89,"15%",98,"47%",21,"1%",58,"20%",48,"21%"
"Damian Jones",24.3,ATL,Big,835,94,"67.3%",94,"87%",9,"6%",28,"2%",9,"8%",42,"3%",22,"1%",28,"4%"
"Tyus Jones",23.4,MEM,Point,1107,64,"52.2%",17,"21%",100,"38%",51,"14%",98,"52%",47,"5%",32,"22%",26,"27%"
"Derrick Jones, Jr.",22.7,MIA,Wing,1115,84,"56.9%",98,"57%",17,"8%",10,"2%",8,"10%",79,"21%",6,"12%",20,"33%"
"DeAndre Jordan",31.2,BKN,Big,1133,93,"66.9%",99,"93%",9,"7%",9,"0%",4,"7%",0,"0%",0,"0%",0,"0%"
"Cory Joseph",28.1,SAC,Combo,1440,45,"48.9%",21,"20%",82,"25%",85,"20%",95,"45%",66,"10%",29,"25%",37,"35%"
"Frank Kaminsky",26.5,PHX,Big,701,36,"53.3%",38,"40%",53,"18%",58,"6%",52,"24%",36,"2%",79,"34%",67,"37%"
"Enes Kanter",27.4,BOS,Big,830,65,"57.9%",89,"79%",42,"15%",47,"4%",36,"19%",18,"0%",26,"2%",23,"2%"
"Luke Kennard",23.3,DET,Wing,909,72,"55.4%",23,"17%",55,"16%",76,"15%",72,"31%",41,"11%",77,"42%",65,"53%"
"Michael Kidd-Gilchrist",26.0,CHA,Big,131,1,"39.0%",21,"28%",94,"33%",65,"7%",89,"40%",81,"14%",53,"19%",60,"33%"
"Maxi Kleber",27.7,DAL,Big,1508,69,"58.8%",31,"34%",8,"6%",26,"2%",8,"8%",93,"21%",84,"37%",87,"58%"
"Brandon Knight",27.9,CLE,Wing,204,13,"45.0%",4,"7%",43,"13%",18,"3%",24,"16%",65,"16%",100,"61%",97,"77%"
"Brandon Knight",27.9,DET,Point,116,94,"58.2%",0,"2%",2,"10%",4,"2%",0,"12%",32,"4%",100,"82%",100,"86%"
"Kevin Knox",20.2,NYK,Forward,970,13,"43.8%",36,"29%",44,"15%",73,"12%",63,"27%",43,"12%",67,"32%",59,"44%"
"Furkan Korkmaz",22.2,PHI,Wing,1310,76,"55.8%",14,"15%",58,"16%",48,"9%",47,"25%",54,"14%",86,"46%",79,"59%"
"Luke Kornet",24.2,CHI,Big,532,38,"53.5%",27,"33%",19,"10%",23,"2%",15,"12%",78,"13%",90,"43%",86,"55%"
"Kyle Korver",38.6,MIL,Wing,696,90,"58.0%",2,"6%",4,"4%",58,"11%",19,"14%",76,"20%",99,"59%",98,"80%"
"Rodions Kurucs",21.7,BKN,Forward,412,64,"54.4%",89,"46%",31,"10%",0,"0%",19,"10%",49,"13%",63,"31%",56,"44%"
"Kyle Kuzma",24.2,LAL,Big,1197,14,"49.7%",21,"27%",80,"25%",82,"11%",82,"37%",69,"9%",69,"27%",65,"36%"
"Skal Labissiere",23.6,POR,Big,533,55,"56.1%",48,"46%",91,"31%",87,"15%",96,"46%",31,"1%",33,"7%",31,"8%"
"Jeremy Lamb",27.4,IND,Wing,1289,50,"51.6%",42,"25%",83,"21%",97,"25%",98,"46%",12,"5%",28,"24%",15,"30%"
"Romeo Langford",20.0,BOS,Wing,207,9,"44.0%",77,"40%",77,"20%",12,"2%",41,"22%",86,"22%",9,"16%",32,"38%"
"Zach LaVine",24.6,CHI,Wing,2080,57,"53.0%",84,"44%",15,"7%",65,"12%",36,"19%",18,"7%",47,"30%",31,"37%"
"Jake Layman",25.6,MIN,Forward,414,40,"50.7%",67,"39%",36,"13%",63,"8%",46,"21%",20,"8%",66,"32%",47,"39%"
"TJ Leaf",22.5,IND,Big,149,16,"50.0%",72,"62%",50,"17%",43,"3%",42,"21%",50,"5%",42,"12%",42,"17%"
"Courtney Lee",34.0,DAL,Wing,178,85,"57.0%",20,"16%",56,"16%",50,"9%",46,"25%",87,"23%",60,"36%",78,"59%"
"Damion Lee",27.0,GSW,Combo,1259,37,"48.6%",19,"20%",69,"23%",63,"14%",73,"37%",68,"10%",61,"33%",61,"43%"
"Alex Len",26.3,ATL,Big,716,62,"56.9%",70,"61%",48,"17%",25,"2%",36,"19%",70,"9%",40,"10%",46,"20%"
"Alex Len",26.3,SAC,Big,111,75,"60.0%",85,"75%",78,"25%",0,"0%",57,"25%",0,"0%",0,"0%",0,"0%"
"Kawhi Leonard",28.3,LAC,Forward,1542,47,"51.6%",20,"23%",94,"30%",94,"21%",99,"51%",1,"2%",31,"24%",7,"26%"
"Meyers Leonard",27.6,MIA,Big,986,87,"63.5%",22,"29%",46,"17%",39,"3%",39,"20%",67,"9%",91,"43%",85,"52%"
"Caris LeVert",25.1,BKN,Combo,991,23,"47.1%",58,"34%",92,"31%",34,"7%",76,"38%",18,"4%",27,"24%",19,"28%"
"Damian Lillard",29.2,POR,Point,1992,89,"55.6%",68,"34%",4,"10%",26,"9%",9,"19%",4,"2%",89,"45%",81,"46%"
"Nassir Little",19.7,POR,Forward,485,37,"50.0%",96,"54%",30,"9%",10,"1%",20,"10%",77,"17%",17,"19%",34,"36%"
"Kevon Looney",23.7,GSW,Big,241,0,"36.3%",50,"47%",64,"20%",91,"16%",81,"36%",64,"8%",37,"9%",43,"17%"
"Brook Lopez",31.5,MIL,Big,1530,15,"49.7%",23,"30%",72,"23%",28,"2%",55,"25%",67,"8%",86,"37%",79,"46%"
"Robin Lopez",31.5,MIL,Big,709,53,"55.8%",25,"31%",97,"36%",10,"0%",80,"36%",89,"18%",48,"16%",62,"33%"
"Kevin Love",31.1,CLE,Big,1612,53,"55.8%",6,"19%",39,"15%",92,"16%",73,"31%",65,"8%",89,"42%",84,"50%"
"Kyle Lowry",33.6,TOR,Point,1774,60,"52.0%",49,"27%",6,"10%",34,"11%",11,"21%",43,"5%",94,"47%",89,"52%"
"Timothe Luwawu-Cabarrot",24.4,BKN,Wing,517,36,"50.0%",80,"42%",6,"5%",26,"4%",6,"9%",80,"21%",40,"28%",53,"49%"
"Trey Lyles",23.9,SAS,Big,1152,35,"53.1%",24,"31%",31,"14%",75,"9%",47,"23%",79,"14%",76,"33%",81,"47%"
"Ian Mahinmi",32.9,WAS,Big,799,17,"50.2%",75,"66%",69,"22%",33,"2%",55,"24%",30,"1%",35,"9%",33,"10%"
"Thon Maker",22.6,DET,Big,649,34,"53.0%",47,"44%",56,"18%",77,"10%",63,"28%",79,"13%",47,"15%",57,"28%"
"Terance Mann",23.0,LAC,Wing,191,21,"47.3%",88,"48%",93,"26%",28,"5%",74,"31%",72,"19%",0,"2%",3,"21%"
"Boban Marjanovic",31.2,DAL,Big,223,80,"61.2%",60,"56%",98,"37%",54,"5%",92,"42%",0,"0%",24,"2%",21,"2%"
"Lauri Markkanen",22.4,CHI,Big,1390,23,"51.4%",33,"35%",29,"14%",35,"3%",24,"16%",59,"7%",88,"42%",82,"49%"
"Caleb Martin",24.0,CHA,Wing,167,23,"47.7%",94,"53%",0,"2%",27,"4%",2,"7%",16,"7%",50,"33%",40,"40%"
"Cody Martin",24.0,CHA,Wing,699,36,"50.0%",91,"52%",23,"9%",30,"5%",17,"14%",56,"14%",16,"19%",24,"34%"
"Kelan Martin",24.2,MIN,Forward,455,21,"46.3%",16,"22%",77,"21%",53,"6%",64,"27%",87,"22%",54,"29%",76,"51%"
"Garrison Mathews",23.0,WAS,Wing,184,98,"66.3%",0,"2%",23,"9%",50,"9%",31,"18%",85,"22%",98,"58%",99,"80%"
"Wesley Matthews",33.0,MIL,Wing,1391,52,"52.3%",18,"16%",36,"12%",36,"6%",29,"18%",73,"20%",90,"47%",91,"67%"
"Patrick McCaw",24.0,TOR,Wing,802,48,"51.4%",76,"40%",50,"15%",35,"6%",38,"21%",84,"22%",11,"18%",39,"40%"
"CJ McCollum",28.1,POR,Combo,2071,71,"52.5%",24,"21%",74,"23%",89,"20%",87,"43%",31,"6%",52,"30%",44,"36%"
"TJ McConnell",27.6,IND,Combo,1061,76,"52.7%",69,"37%",100,"41%",82,"19%",100,"60%",5,"2%",0,"1%",0,"3%"
"Jalen McDaniels",21.7,CHA,Wing,191,87,"57.3%",83,"43%",76,"20%",0,"0%",37,"20%",93,"26%",4,"11%",30,"37%"
"Doug McDermott",27.8,IND,Forward,1167,97,"61.0%",31,"28%",19,"7%",71,"11%",34,"18%",57,"14%",83,"40%",79,"54%"
"JaVale McGee",31.7,LAL,Big,934,90,"65.4%",90,"80%",53,"18%",18,"1%",32,"19%",0,"0%",23,"1%",18,"1%"
"Rodney McGruder",28.2,LAC,Wing,648,12,"44.8%",35,"21%",94,"27%",4,"1%",60,"28%",96,"29%",20,"22%",60,"51%"
"Alfonzo McKinnie",27.1,CLE,Forward,455,27,"47.6%",80,"43%",61,"19%",37,"4%",49,"22%",74,"17%",13,"18%",31,"35%"
"Jordan McLaughlin",23.5,MIN,Point,489,98,"59.9%",91,"48%",15,"12%",0,"1%",2,"12%",57,"6%",66,"34%",62,"40%"
"Ben McLemore",26.7,HOU,Forward,1339,99,"61.9%",9,"17%",1,"2%",0,"0%",0,"2%",93,"26%",96,"54%",97,"81%"
"Jordan McRae",28.5,WAS,Wing,607,24,"47.7%",47,"27%",80,"21%",92,"23%",95,"43%",14,"6%",27,"24%",14,"29%"
"Nicolo Melli",28.7,NOP,Big,761,74,"59.4%",8,"20%",21,"11%",73,"9%",38,"20%",85,"15%",92,"45%",89,"60%"
"De'Anthony Melton",21.4,MEM,Combo,860,35,"48.5%",74,"37%",56,"20%",61,"14%",63,"34%",32,"6%",19,"23%",21,"29%"
"Khris Middleton",28.2,MIL,Forward,1537,91,"58.4%",7,"15%",84,"23%",97,"26%",97,"49%",7,"5%",61,"31%",37,"36%"
"CJ Miles",32.6,WAS,Wing,155,5,"43.0%",49,"28%",34,"11%",39,"6%",28,"17%",45,"11%",82,"44%",70,"55%"
"Patty Mills",31.2,SAS,Combo,1369,89,"55.4%",8,"15%",3,"4%",65,"14%",15,"18%",90,"15%",95,"53%",95,"67%"
"Paul Millsap",34.7,DEN,Big,971,47,"54.8%",42,"42%",82,"26%",69,"8%",77,"34%",60,"8%",51,"17%",53,"25%"
"Shake Milton",23.0,PHI,Combo,479,98,"63.7%",61,"34%",39,"16%",13,"3%",19,"19%",79,"11%",66,"36%",77,"47%"
"Donovan Mitchell",23.1,UTA,Combo,2025,73,"52.5%",32,"24%",89,"29%",68,"15%",90,"44%",19,"4%",40,"28%",26,"32%"
